Feature,Importance,FieldID,FieldName
20500-0.0,0.160096753,20500,Suffering mental distress 
20450-0.0,0.134111778,20450,Feelings of worthlessness
20433-0.0,0.089684217,20433,Age at first episode of depression
2100-0.0,0.081432955,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.075778052,20437,Thoughts of death during depression
20499-0.0,0.056924689,20499,Ever sought/received help for mental distress
20544-0.0-11,0.040250469,20544,Depression diagnosed by professional
20531-0.0,0.034349707,20531,Victim of sexual assault
20489-0.0,0.02521933,20489,Felt loved as a child
2149-0.0,0.020643933,2149,Lifetime number of sexual partners
20487-0.0,0.019136718,20487,Felt hated by family member as a child
20523-0.0,0.018474645,20523,Physical violence by partners
99999992-0.0,0.016940617,99999992,Traumatic events
20521-0.0,0.01377908,20521,Belittlement by partners
20162-0.0,0.013352704,20162,Smoking years as proportion of life span
20436-0.0,0.011274079,20436,Fraction of day affected during depression
20546-0.0-4,0.011113896,20546,Drugs or alcohol  taken for depression
2139-0.0,0.010245314,2139,Age first had sexual intercourse
20513-0.0,0.009766671,20513,Recent thoughts of suicide or self-harm
189-0.0,0.008626296,189,Townsend deprivation index 
20441-0.0,0.008449872,20441,Prolonged loss of interest in normal activities
699-0.0,0.006807861,699,Length of time at current address
20461-0.0,0.005821885,20461,Age at first psychotic experience
3669-0.0,0.00500021,3669,Number of same-sex sexual partners
20488-0.0,0.004851469,20488,Physically abused by family as a child
20455-0.0,0.004137578,20455,Age when last took cannabis
20161-0.0,0.003778373,20161,Pack years of smoking
1883-0.0,0.003088548,1883,Number of full sisters
680-0.0,0.003038741,680,Own or rent accommodation lived in
99999995-0.0,0.002916519,99999995,Mental distress
1458-0.0,0.002880766,1458,Cereal intake
20454-0.0,0.002859654,20454,Maximum frequency of taking cannabis
20536-0.0,0.002174666,20536,Weight change during worst episode of depression
20493-0.0,0.001832175,20493,Severity of problems due to mania or irritability
1930-0.0,0.001825981,1930,Miserableness
2159-0.0,0.00181307,2159,Ever had same-sex intercourse
99999998-0.0,0.001769398,99999998,Depression symptom
2946-0.0,0.001724858,2946,Father's age
20501-0.0,0.001596584,20501,Ever had period of mania / excitability
20406-0.0,0.001560287,20406,Ever addicted to alcohol
20522-0.0,0.001538819,20522,Been in a confiding relationship as an adult
20414-0.0,0.001538151,20414,Frequency of drinking alcohol
1299-0.0,0.00147777,1299,Salad / raw vegetable intake
20453-0.0,0.001455839,20453,Ever taken cannabis
23111-0.0,0.001440943,23111,Leg fat percentage (right)
