,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0213,0.86,0.8889,0.8597,0.0537,0.7486,0.1013,0.9217,0.3007,1.3358,0.008
inner_cv_iter1,0.0213,0.8408,0.8889,0.84,0.0925,0.7288,0.1675,0.9311,0.3196,1.372,0.0146
inner_cv_iter2,0.0213,0.8415,0.8387,0.8416,0.1376,0.6803,0.2364,0.9295,0.4456,1.4699,0.0216
inner_cv_iter3,0.0213,0.8307,0.7917,0.8317,0.1022,0.6233,0.181,0.8844,0.366,1.6043,0.0186
inner_cv_iter4,0.0213,0.8496,0.75,0.8516,0.0898,0.6016,0.1604,0.9044,0.2829,1.6623,0.0164
inner_cv_iter5,0.0213,0.8286,0.85,0.8282,0.0872,0.6782,0.1581,0.9081,0.3744,1.4745,0.0145
inner_cv_iter6,0.0213,0.85,0.85,0.85,0.1012,0.7,0.1809,0.9342,0.2753,1.4285,0.0165
inner_cv_iter7,0.0213,0.8314,0.913,0.8295,0.1094,0.7426,0.1953,0.926,0.2249,1.3467,0.0196
inner_cv_iter8,0.0213,0.8251,0.8824,0.8242,0.0773,0.7065,0.1422,0.9058,0.1361,1.4154,0.0157
inner_cv_iter9,0.0213,0.861,0.8182,0.862,0.1146,0.6801,0.2011,0.9206,0.2121,1.4703,0.0188
Mean,0.021299999999999996,0.8418699999999999,0.84718,0.84185,0.09655000000000001,0.6890000000000001,0.17242,0.91658,0.29376,1.45797,0.01643
StandarDeviation,3.469446951953614e-18,0.012302442846849566,0.0474378287867394,0.012817975659206086,0.02141411917404029,0.0454567926717229,0.034539913144071455,0.014803229377402768,0.08498124734316388,0.10055290199690907,0.003546561715239141
Output,0.021 +- 0.0,0.842 +- 0.012,0.847 +- 0.047,0.842 +- 0.013,0.097 +- 0.021,0.689 +- 0.045,0.172 +- 0.035,0.917 +- 0.015,0.294 +- 0.085,1.458 +- 0.101,0.016 +- 0.004
