Feature,FieldID,FieldName,Importance_cv0,Importance_cv1,Importance_cv2,Importance_cv3,Importance_cv4,Importance_cv5,Importance_cv6,Importance_cv7,Importance_cv8,Importance_cv9,Importance_cv,Importance_std
99999998-0.0,99999998,Depression symptom,0.003090531,0.002059561,0.001971086,0.001966873,0.002930841,0.001462507,0.001999663,0.001514382,0.001851809,0.001769398,0.002061665,0.00053986
20465-0.0,20465,Number of times heard an un-real voice,0.003055762,0.001899698,0.000723261,0.001901808,0.002326699,0.002489297,0.002929721,0.001530419,0.001715267,0.001310235,0.001988217,0.000726551
1930-0.0,1930,Miserableness,0.002638488,0.002541925,0.000582593,0.00234272,0.001720604,0.001854257,0.002711321,0.001740464,0.001716168,0.001825981,0.001967452,0.00063252
20536-0.0,20536,Weight change during worst episode of depression,0.002554176,0.001763118,0.001473686,0.002079116,0.001633696,0.001558538,0.001230463,0.00222186,0.002020847,0.002174666,0.001871017,0.000405729
20406-0.0,20406,Ever addicted to alcohol,0.002586008,0.001622315,0.001013851,0.001571264,0.001442563,0.002744058,0.00122999,0.001642343,0.002283628,0.001560287,0.001769631,0.000574518
20501-0.0,20501,Ever had period of mania / excitability,0.000777883,0.001647682,0.002140703,0.001001578,0.002498511,0.001421932,0.001524836,0.001983789,0.001627567,0.001596584,0.001622106,0.000507333
20492-0.0,20492,Longest period of mania or irritability,0.001077037,0.001103076,0.0019761,0.001680596,0.001872525,0.001018443,0.000957876,0.001671279,0.00241879,0.001202159,0.001497788,0.000496932
20522-0.0,20522,Been in a confiding relationship as an adult,0.001291113,0.001893123,0.000985033,0.00168063,0.001781656,0.001102834,0.001481183,0.001110527,0.001798892,0.001538819,0.001466381,0.000327389
2159-0.0,2159,Ever had same-sex intercourse,0.001411419,0.001102188,0.00109002,0.001664936,0.00125122,0.001750678,0.001107029,0.002107592,0.001204371,0.00181307,0.001450252,0.000360613
2946-0.0,2946,Father's age,0.001543363,0.001345761,0.001664228,0.001264126,0.001391645,0.001065196,0.001128754,0.001556833,0.001259535,0.001724858,0.00139443,0.000222875
46-0.0,46,Hand grip strength (left),0.001571961,0.001405658,0.001822122,0.00181613,0.000701256,0.001524078,0.001437645,0.001436,0.000949299,0.001278855,0.0013943,0.000350363
2188-0.0,2188,"Long-standing illness, disability or infirmity",0.00190904,0.001281237,0.000951429,0.001210299,0.001008202,0.001188584,0.001588459,0.00161661,0.001826087,0.000975162,0.001355511,0.000354857
20439-0.0,20439,Frequency of depressed days during worst episode of depression,0.001293223,0.001474431,0.001019145,0.000715597,0.001577001,0.000936159,0.001596652,0.001160748,0.001665192,0.001252869,0.001269102,0.00031507
23111-0.0,23111,Leg fat percentage (right),0.000686773,0.001223397,0.000749061,0.001865774,0.00112138,0.00139787,0.001025722,0.001544034,0.001226837,0.001440943,0.001228179,0.000358306
21022-0.0,21022,Age at recruitment,0.001104202,0.001128915,0.001598414,0.000861774,0.001388431,0.001097547,0.001052405,0.001027062,0.001638166,0.001318409,0.001221532,0.000255262
