,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0249,0.7975,0.7931,0.7976,0.087,0.5907,0.1567,0.8852,0.2194,1.693,0.0206
inner_cv_iter1,0.0249,0.8026,0.7595,0.804,0.1117,0.5635,0.1948,0.8688,0.2532,1.7746,0.0263
inner_cv_iter2,0.0249,0.8052,0.859,0.8035,0.1214,0.6625,0.2127,0.9212,0.3399,1.5095,0.0241
inner_cv_iter3,0.0249,0.8104,0.7619,0.8117,0.0938,0.5736,0.167,0.8733,0.2965,1.7434,0.0209
inner_cv_iter4,0.0249,0.7958,0.8308,0.7948,0.0976,0.6256,0.1748,0.9087,0.3676,1.5985,0.0204
inner_cv_iter5,0.0249,0.8098,0.7966,0.8101,0.0916,0.6067,0.1643,0.8862,0.2412,1.6482,0.0199
inner_cv_iter6,0.0249,0.8077,0.8472,0.8065,0.1125,0.6537,0.1987,0.893,0.3417,1.5297,0.0225
inner_cv_iter7,0.0249,0.8036,0.8116,0.8034,0.1073,0.615,0.1895,0.8966,0.2905,1.6261,0.0233
inner_cv_iter8,0.0249,0.8123,0.7846,0.813,0.0994,0.5976,0.1765,0.885,0.2239,1.6732,0.0227
inner_cv_iter9,0.0249,0.8039,0.8,0.804,0.0992,0.604,0.1766,0.8891,0.2502,1.6557,0.022
Mean,0.0249,0.80488,0.80443,0.80486,0.10215,0.6092899999999999,0.18116000000000004,0.89071,0.28241,1.6451900000000002,0.022269999999999998
StandarDeviation,0.0,0.0051234363468281845,0.03159743818729613,0.005500581787411223,0.01021236995021234,0.02998267666503442,0.01650467812470149,0.014704655725313666,0.050323323618377984,0.07992254312770583,0.0018638937737972087
Output,0.025 +- 0.0,0.805 +- 0.005,0.804 +- 0.032,0.805 +- 0.006,0.102 +- 0.01,0.609 +- 0.03,0.181 +- 0.017,0.891 +- 0.015,0.282 +- 0.05,1.645 +- 0.08,0.022 +- 0.002
