,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0262,0.8198,0.9091,0.8176,0.1119,0.7266,0.1992,0.8957,0.2836,1.3762,0.0207
inner_cv_iter1,0.0262,0.8474,0.8537,0.8472,0.0975,0.7009,0.175,0.933,0.3162,1.4267,0.0151
inner_cv_iter2,0.0262,0.8366,0.8936,0.8354,0.1047,0.729,0.1875,0.9196,0.3119,1.3717,0.0171
inner_cv_iter3,0.0262,0.8442,0.8148,0.8449,0.1143,0.6597,0.2005,0.9134,0.2648,1.5157,0.0202
inner_cv_iter4,0.0262,0.8143,0.7561,0.8154,0.0728,0.5715,0.1328,0.8506,0.2301,1.7497,0.0165
inner_cv_iter5,0.0262,0.8438,0.8269,0.8442,0.1123,0.6711,0.1977,0.889,0.2363,1.4901,0.0198
inner_cv_iter6,0.0262,0.8274,0.807,0.828,0.1111,0.635,0.1953,0.8823,0.2273,1.5749,0.0224
inner_cv_iter7,0.0262,0.8187,0.8222,0.8186,0.0853,0.6409,0.1545,0.8912,0.2174,1.5604,0.0177
inner_cv_iter8,0.0262,0.8456,0.8,0.8466,0.1096,0.6466,0.1928,0.917,0.239,1.5465,0.0197
inner_cv_iter9,0.0262,0.8527,0.8571,0.8526,0.1183,0.7098,0.2079,0.9246,0.3191,1.4089,0.0179
Mean,0.0262,0.8350500000000001,0.8340499999999998,0.8350500000000001,0.10378000000000001,0.6691100000000001,0.18431999999999998,0.9016399999999999,0.26457,1.50208,0.018709999999999997
StandarDeviation,0.0,0.013141556224435524,0.043157322669507656,0.013344755524175028,0.01374422060358462,0.046523552099984794,0.02247495494989923,0.02343195254348216,0.038074612276423773,0.10933031418595666,0.0021011663427725085
Output,0.026 +- 0.0,0.835 +- 0.013,0.834 +- 0.043,0.835 +- 0.013,0.104 +- 0.014,0.669 +- 0.047,0.184 +- 0.022,0.902 +- 0.023,0.265 +- 0.038,1.502 +- 0.109,0.019 +- 0.002
