,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0201,0.8075,0.8077,0.8075,0.0636,0.6152,0.118,0.8798,0.1886,1.6256,0.0145
inner_cv_iter1,0.0201,0.8213,0.9412,0.8188,0.0991,0.76,0.1793,0.946,0.4322,1.3158,0.0156
inner_cv_iter2,0.0201,0.8223,0.8649,0.8213,0.1003,0.6862,0.1798,0.8983,0.3944,1.4574,0.0179
inner_cv_iter3,0.0201,0.8085,0.6829,0.8118,0.087,0.4947,0.1543,0.8482,0.1901,2.0214,0.0231
inner_cv_iter4,0.0201,0.8204,0.8857,0.819,0.0966,0.7047,0.1742,0.9383,0.4573,1.4191,0.016
inner_cv_iter5,0.0201,0.8037,0.7667,0.8044,0.0689,0.5711,0.1264,0.8929,0.1526,1.7511,0.0173
inner_cv_iter6,0.0201,0.8118,0.7188,0.8136,0.0717,0.5324,0.1303,0.8444,0.1259,1.8783,0.0188
inner_cv_iter7,0.0201,0.8301,0.8485,0.8297,0.0946,0.6782,0.1702,0.9003,0.2516,1.4745,0.0174
inner_cv_iter8,0.0201,0.8238,0.8537,0.823,0.1101,0.6767,0.195,0.9059,0.2866,1.4778,0.0208
inner_cv_iter9,0.0201,0.8091,0.7826,0.8095,0.0562,0.5921,0.105,0.9116,0.3108,1.689,0.0121
Mean,0.0201,0.81585,0.8152699999999999,0.81586,0.08481,0.63113,0.15325,0.89657,0.27901000000000004,1.611,0.017349999999999997
StandarDeviation,3.6387866614659135e-18,0.00831627921609177,0.07494994396262084,0.00744233834221476,0.017368848551357688,0.07942694819769926,0.0294484719467751,0.031417576290987174,0.11220070810828243,0.21207044112747067,0.0029655522251344686
Output,0.02 +- 0.0,0.816 +- 0.008,0.815 +- 0.075,0.816 +- 0.007,0.085 +- 0.017,0.631 +- 0.079,0.153 +- 0.029,0.897 +- 0.031,0.279 +- 0.112,1.611 +- 0.212,0.017 +- 0.003
