,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0244,0.8203,0.8909,0.8185,0.1104,0.7094,0.1964,0.9053,0.3133,1.4097,0.0201
inner_cv_iter1,0.0244,0.8469,0.8293,0.8472,0.095,0.6765,0.1704,0.9387,0.3394,1.4782,0.0148
inner_cv_iter2,0.0244,0.8317,0.8723,0.8308,0.1,0.7032,0.1794,0.9239,0.3436,1.4222,0.0167
inner_cv_iter3,0.0244,0.8447,0.7963,0.8458,0.1126,0.6421,0.1972,0.9209,0.2712,1.5573,0.0201
inner_cv_iter4,0.0244,0.8161,0.7561,0.8173,0.0735,0.5734,0.1339,0.8617,0.2275,1.744,0.0163
inner_cv_iter5,0.0244,0.8469,0.8269,0.8474,0.1144,0.6743,0.2009,0.8938,0.2596,1.483,0.0195
inner_cv_iter6,0.0244,0.8247,0.807,0.8252,0.1095,0.6322,0.1929,0.8841,0.2422,1.5819,0.0222
inner_cv_iter7,0.0244,0.8209,0.8444,0.8205,0.0882,0.6649,0.1597,0.9052,0.2341,1.504,0.0175
inner_cv_iter8,0.0244,0.8432,0.84,0.8433,0.1123,0.6833,0.1981,0.923,0.257,1.4634,0.0195
inner_cv_iter9,0.0244,0.8454,0.8776,0.8446,0.1153,0.7222,0.2038,0.9371,0.3263,1.3847,0.0178
Mean,0.0244,0.8340799999999999,0.8340799999999999,0.83406,0.10312000000000002,0.66815,0.18327,0.9093700000000002,0.28142,1.5028400000000002,0.01845
StandarDeviation,0.0,0.011972201134294388,0.03878241354016019,0.012169322084652042,0.013111277588396945,0.04140973919261023,0.021412522037350012,0.02312232903493937,0.042567870512864515,0.09953243893324427,0.0020986900676374302
Output,0.024 +- 0.0,0.834 +- 0.012,0.834 +- 0.039,0.834 +- 0.012,0.103 +- 0.013,0.668 +- 0.041,0.183 +- 0.021,0.909 +- 0.023,0.281 +- 0.043,1.503 +- 0.1,0.018 +- 0.002
