Feature,Importance,FieldID,FieldName
20500-0.0,0.175548034,20500,Suffering mental distress 
20450-0.0,0.116222373,20450,Feelings of worthlessness
20433-0.0,0.081784674,20433,Age at first episode of depression
2100-0.0,0.079782954,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.070763061,20437,Thoughts of death during depression
20499-0.0,0.057631821,20499,Ever sought/received help for mental distress
20544-0.0-11,0.038950755,20544,Depression diagnosed by professional
20531-0.0,0.030584369,20531,Victim of sexual assault
20489-0.0,0.029619177,20489,Felt loved as a child
99999992-0.0,0.024256618,99999992,Traumatic events
2149-0.0,0.020826838,2149,Lifetime number of sexual partners
20487-0.0,0.017720089,20487,Felt hated by family member as a child
20523-0.0,0.016556181,20523,Physical violence by partners
20436-0.0,0.014557001,20436,Fraction of day affected during depression
20441-0.0,0.014059866,20441,Prolonged loss of interest in normal activities
2139-0.0,0.01281934,2139,Age first had sexual intercourse
20162-0.0,0.011949642,20162,Smoking years as proportion of life span
20513-0.0,0.011165296,20513,Recent thoughts of suicide or self-harm
20521-0.0,0.010126077,20521,Belittlement by partners
20546-0.0-4,0.009953021,20546,Drugs or alcohol  taken for depression
189-0.0,0.006528045,189,Townsend deprivation index 
699-0.0,0.006422144,699,Length of time at current address
20461-0.0,0.006303925,20461,Age at first psychotic experience
20161-0.0,0.004962631,20161,Pack years of smoking
20455-0.0,0.004481775,20455,Age when last took cannabis
3669-0.0,0.004130847,3669,Number of same-sex sexual partners
20488-0.0,0.004097905,20488,Physically abused by family as a child
99999995-0.0,0.003606206,99999995,Mental distress
1458-0.0,0.003515637,1458,Cereal intake
1883-0.0,0.003223413,1883,Number of full sisters
99999998-0.0,0.002930841,99999998,Depression symptom
20493-0.0,0.002525591,20493,Severity of problems due to mania or irritability
20501-0.0,0.002498511,20501,Ever had period of mania / excitability
680-0.0,0.002411988,680,Own or rent accommodation lived in
20454-0.0,0.002373084,20454,Maximum frequency of taking cannabis
20465-0.0,0.002326699,20465,Number of times heard an un-real voice
1299-0.0,0.001945421,1299,Salad / raw vegetable intake
757-0.0,0.001934436,757,Time employed in main current job
20492-0.0,0.001872525,20492,Longest period of mania or irritability
20522-0.0,0.001781656,20522,Been in a confiding relationship as an adult
1930-0.0,0.001720604,1930,Miserableness
20536-0.0,0.001633696,20536,Weight change during worst episode of depression
20439-0.0,0.001577001,20439,Frequency of depressed days during worst episode of depression
20524-0.0,0.001531378,20524,Sexual interference by partner or ex-partner without consent as an adult
20406-0.0,0.001442563,20406,Ever addicted to alcohol
2050-0.0,0.001410169,2050,Frequency of depressed mood in last 2 weeks
2946-0.0,0.001391645,2946,Father's age
21022-0.0,0.001388431,21022,Age at recruitment
20160-0.0,0.001334289,20160,Ever smoked
1488-0.0,0.001322164,1488,Tea intake
4288-0.0,0.001319989,4288,Time to answer
20453-0.0,0.001312006,20453,Ever taken cannabis
767-0.0,0.001304999,767,Length of working week for main job
20496-0.0,0.001279271,20496,Felt distant from other people in past month
2159-0.0,0.00125122,2159,Ever had same-sex intercourse
47-0.0,0.001234378,47,Hand grip strength (right)
20403-0.0,0.001205089,20403,Amount of alcohol drunk on a typical drinking day
20440-0.0,0.001183331,20440,Impact on normal roles during worst period of depression
20462-0.0,0.001132569,20462,Distress caused by unusual or psychotic experiences
23111-0.0,0.00112138,23111,Leg fat percentage (right)
20127-0.0,0.001090469,20127,Neuroticism score
21000-0.0,0.001062219,21000,Ethnic background
1329-0.0,0.00102475,1329,Oily fish intake
20449-0.0,0.001014226,20449,Feelings of tiredness during worst episode of depression
2188-0.0,0.001008202,2188,"Long-standing illness, disability or infirmity"
3526-0.0,0.001004646,3526,Mother's age at death
2110-0.0,0.000974492,2110,Able to confide
20466-0.0,0.00095861,20466,Ever prescribed a medication for unusual or psychotic experiences
1807-0.0,0.00091517,1807,Father's age at death
22040-0.0,0.000884652,22040,Summed MET minutes per week for all activity
20410-0.0,0.000860804,20410,Age when known person last commented about drinking habits
20546-0.0-3,0.000858676,20546,Drugs or alcohol  taken for depression
20434-0.0,0.000778863,20434,Age at last episode of depression
3486-0.0,0.000743721,3486,Ever tried to stop smoking
20414-0.0,0.000714549,20414,Frequency of drinking alcohol
4079-0.0,0.000708905,4079,"Diastolic blood pressure, automated reading"
6350-2.0,0.000708281,6350,Duration to complete alphanumeric path (trail #2)
46-0.0,0.000701256,46,Hand grip strength (left)
709-0.0,0.000700681,709,Number in household
4581-0.0,0.00069268,4581,Financial situation satisfaction
23115-0.0,0.000692345,23115,Leg fat percentage (left)
20526-0.0,0.000646032,20526,Been in serious accident believed to be life-threatening
3436-0.0,0.000622516,3436,Age started smoking in current smokers
1835-0.0,0.000598256,1835,Mother still alive
1339-0.0,0.000583213,1339,Non-oily fish intake
1289-0.0,0.000577636,1289,Cooked vegetable intake
4620-0.0,0.000576022,4620,Number of depression episodes
20539-0.0,0.000566605,20539,Frequency of inability to stop worrying during worst period of anxiety
1797-0.0,0.000552459,1797,Father still alive
1369-0.0,0.000549572,1369,Beef intake
20477-0.0,0.000539519,20477,Ever talked to a health professional about unusual or psychotic experiences
94-0.0,0.000523938,94,"Diastolic blood pressure, manual reading"
20490-0.0,0.00052034,20490,Sexually molested as a child
20404-0.0,0.0005162,20404,Ever physically dependent on alcohol
728-0.0,0.000503644,728,Number of vehicles in household
23104-0.0,0.000496136,23104,Body mass index (BMI)
1309-0.0,0.00047883,1309,Fresh fruit intake
