,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0231,0.8363,0.8846,0.8355,0.0801,0.7201,0.147,0.9061,0.1881,1.3886,0.0146
inner_cv_iter1,0.0231,0.8372,0.9118,0.8356,0.1051,0.7474,0.1884,0.9396,0.4068,1.338,0.0157
inner_cv_iter2,0.0231,0.8375,0.8919,0.8362,0.1115,0.7281,0.1982,0.9041,0.3779,1.3734,0.0174
inner_cv_iter3,0.0231,0.8403,0.7317,0.8431,0.1091,0.5749,0.1899,0.8579,0.2042,1.7396,0.0226
inner_cv_iter4,0.0231,0.8448,0.8571,0.8446,0.1075,0.7017,0.1911,0.9402,0.4829,1.4251,0.0153
inner_cv_iter5,0.0231,0.8414,0.8333,0.8415,0.0903,0.6748,0.1629,0.897,0.1657,1.4818,0.0173
inner_cv_iter6,0.0231,0.8394,0.7188,0.8418,0.0833,0.5605,0.1494,0.8699,0.1331,1.784,0.0188
inner_cv_iter7,0.0231,0.8475,0.8485,0.8475,0.1045,0.696,0.186,0.9106,0.2652,1.4368,0.0173
inner_cv_iter8,0.0231,0.8518,0.9024,0.8505,0.1341,0.753,0.2334,0.9167,0.332,1.3281,0.0203
inner_cv_iter9,0.0231,0.8308,0.8261,0.8309,0.0662,0.657,0.1226,0.9288,0.2799,1.5221,0.012
Mean,0.023100000000000002,0.8407,0.84062,0.8407199999999999,0.09917000000000001,0.6813499999999999,0.17689000000000002,0.9070900000000002,0.28358,1.4817500000000001,0.01713
StandarDeviation,1.097135458930219e-18,0.00573114299245796,0.06383495594108295,0.005783044181052059,0.01839815479878349,0.06354867819239043,0.03004394947406216,0.025775276914128387,0.10883992649758636,0.15145579057929742,0.0028460674623065414
Output,0.023 +- 0.0,0.841 +- 0.006,0.841 +- 0.064,0.841 +- 0.006,0.099 +- 0.018,0.681 +- 0.064,0.177 +- 0.03,0.907 +- 0.026,0.284 +- 0.109,1.482 +- 0.151,0.017 +- 0.003
