,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0233,0.8408,0.8529,0.8405,0.1047,0.6935,0.1865,0.913,0.311,1.4421,0.0174
inner_cv_iter1,0.0233,0.8627,0.8,0.8641,0.1138,0.6641,0.1993,0.898,0.3224,1.5058,0.0174
inner_cv_iter2,0.0233,0.819,0.8214,0.819,0.0754,0.6404,0.1381,0.8858,0.2095,1.5615,0.0156
inner_cv_iter3,0.0233,0.8558,0.8438,0.856,0.1093,0.6998,0.1935,0.9081,0.2394,1.429,0.0176
inner_cv_iter4,0.0233,0.8509,0.8214,0.8514,0.0881,0.6729,0.1592,0.8886,0.1072,1.4862,0.0169
inner_cv_iter5,0.0233,0.8331,0.8966,0.8319,0.0906,0.7285,0.1646,0.9252,0.2844,1.3727,0.0155
inner_cv_iter6,0.0233,0.8277,0.9231,0.8262,0.0803,0.7492,0.1477,0.917,0.2682,1.3347,0.0134
inner_cv_iter7,0.0233,0.8342,0.7941,0.8351,0.0975,0.6292,0.1736,0.8744,0.3575,1.5893,0.0177
inner_cv_iter8,0.0233,0.8492,0.8095,0.8503,0.1255,0.6598,0.2173,0.9176,0.3876,1.5156,0.02
inner_cv_iter9,0.0233,0.848,0.8846,0.8474,0.0852,0.7321,0.1554,0.9196,0.3152,1.366,0.013
Mean,0.023299999999999998,0.84214,0.84474,0.8421899999999999,0.09703999999999999,0.6869500000000001,0.17352,0.90473,0.28023999999999993,1.4602899999999999,0.01645
StandarDeviation,3.469446951953614e-18,0.01288706328067028,0.04169350548946442,0.013420018628899145,0.015199223664384967,0.038479377593718944,0.023839454691749973,0.016185799331512808,0.07630090694087456,0.08144576661803853,0.0020081085628023206
Output,0.023 +- 0.0,0.842 +- 0.013,0.845 +- 0.042,0.842 +- 0.013,0.097 +- 0.015,0.687 +- 0.038,0.174 +- 0.024,0.905 +- 0.016,0.28 +- 0.076,1.46 +- 0.081,0.016 +- 0.002
