Feature,Importance,FieldID,FieldName
20450-0.0,0.158864011,20450,Feelings of worthlessness
20500-0.0,0.143858181,20500,Suffering mental distress 
20433-0.0,0.087788083,20433,Age at first episode of depression
2100-0.0,0.085782238,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.071391922,20437,Thoughts of death during depression
20499-0.0,0.04740566,20499,Ever sought/received help for mental distress
20544-0.0-11,0.044138706,20544,Depression diagnosed by professional
20531-0.0,0.035766041,20531,Victim of sexual assault
20489-0.0,0.02888815,20489,Felt loved as a child
2149-0.0,0.020093137,2149,Lifetime number of sexual partners
20523-0.0,0.017487949,20523,Physical violence by partners
99999992-0.0,0.017439589,99999992,Traumatic events
20487-0.0,0.016153881,20487,Felt hated by family member as a child
20521-0.0,0.0135345,20521,Belittlement by partners
20436-0.0,0.01208556,20436,Fraction of day affected during depression
20546-0.0-4,0.010910756,20546,Drugs or alcohol  taken for depression
20162-0.0,0.010813893,20162,Smoking years as proportion of life span
20513-0.0,0.010139588,20513,Recent thoughts of suicide or self-harm
189-0.0,0.009973066,189,Townsend deprivation index 
699-0.0,0.009058148,699,Length of time at current address
2139-0.0,0.008172489,2139,Age first had sexual intercourse
20441-0.0,0.005573834,20441,Prolonged loss of interest in normal activities
20488-0.0,0.005511201,20488,Physically abused by family as a child
20461-0.0,0.005267009,20461,Age at first psychotic experience
3669-0.0,0.00503978,3669,Number of same-sex sexual partners
1458-0.0,0.004278046,1458,Cereal intake
20161-0.0,0.004230359,20161,Pack years of smoking
680-0.0,0.003825552,680,Own or rent accommodation lived in
20455-0.0,0.003185002,20455,Age when last took cannabis
99999995-0.0,0.002578366,99999995,Mental distress
20454-0.0,0.002386392,20454,Maximum frequency of taking cannabis
20536-0.0,0.00222186,20536,Weight change during worst episode of depression
2159-0.0,0.002107592,2159,Ever had same-sex intercourse
20501-0.0,0.001983789,20501,Ever had period of mania / excitability
20493-0.0,0.001883906,20493,Severity of problems due to mania or irritability
1930-0.0,0.001740464,1930,Miserableness
20492-0.0,0.001671279,20492,Longest period of mania or irritability
20406-0.0,0.001642343,20406,Ever addicted to alcohol
2188-0.0,0.00161661,2188,"Long-standing illness, disability or infirmity"
2946-0.0,0.001556833,2946,Father's age
23111-0.0,0.001544034,23111,Leg fat percentage (right)
20465-0.0,0.001530419,20465,Number of times heard an un-real voice
2110-0.0,0.001520364,2110,Able to confide
99999998-0.0,0.001514382,99999998,Depression symptom
20403-0.0,0.001441713,20403,Amount of alcohol drunk on a typical drinking day
46-0.0,0.001436,46,Hand grip strength (left)
1883-0.0,0.001327816,1883,Number of full sisters
2060-0.0,0.001182565,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
20439-0.0,0.001160748,20439,Frequency of depressed days during worst episode of depression
21000-0.0,0.001114869,21000,Ethnic background
20522-0.0,0.001110527,20522,Been in a confiding relationship as an adult
3526-0.0,0.00109226,3526,Mother's age at death
20496-0.0,0.001087896,20496,Felt distant from other people in past month
20440-0.0,0.001032782,20440,Impact on normal roles during worst period of depression
21022-0.0,0.001027062,21022,Age at recruitment
20116-0.0,0.001023385,20116,Smoking status
728-0.0,0.00098653,728,Number of vehicles in household
20414-0.0,0.000969032,20414,Frequency of drinking alcohol
3456-0.0,0.000967947,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
20434-0.0,0.000881129,20434,Age at last episode of depression
767-0.0,0.000822167,767,Length of working week for main job
1835-0.0,0.00079067,1835,Mother still alive
757-0.0,0.000784107,757,Time employed in main current job
1807-0.0,0.000737033,1807,Father's age at death
20453-0.0,0.000733948,20453,Ever taken cannabis
99999991-0.0,0.000731396,99999991,Unusual and psychotic experiences
2966-0.0,0.000720873,2966,Age high blood pressure diagnosed
1279-0.0,0.000716977,1279,Exposure to tobacco smoke outside home
20462-0.0,0.000712208,20462,Distress caused by unusual or psychotic experiences
1299-0.0,0.000709196,1299,Salad / raw vegetable intake
1239-0.0,0.000703992,1239,Current tobacco smoking
20526-0.0,0.000703883,20526,Been in serious accident believed to be life-threatening
4581-0.0,0.000691764,4581,Financial situation satisfaction
20546-0.0-3,0.000688505,20546,Drugs or alcohol  taken for depression
4288-0.0,0.000680948,4288,Time to answer
23115-0.0,0.000678201,23115,Leg fat percentage (left)
20463-0.0,0.000677481,20463,Ever heard an un-real voice
20022-0.0,0.000673471,20022,Birth weight
20411-0.0,0.000673,20411,Ever been injured or injured someone else through drinking alcohol
20127-0.0,0.000671959,20127,Neuroticism score
2090-0.0,0.000659309,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
1488-0.0,0.000653622,1488,Tea intake
20466-0.0,0.000650978,20466,Ever prescribed a medication for unusual or psychotic experiences
20449-0.0,0.000649109,20449,Feelings of tiredness during worst episode of depression
400-0.1,0.000646227,400,Time to complete round
23104-0.0,0.000640452,23104,Body mass index (BMI)
20524-0.0,0.00062918,20524,Sexual interference by partner or ex-partner without consent as an adult
1050-0.0,0.000618447,1050,Time spend outdoors in summer
20410-0.0,0.000608228,20410,Age when known person last commented about drinking habits
4079-0.0,0.000588123,4079,"Diastolic blood pressure, automated reading"
23100-0.0,0.000564718,23100,Whole body fat mass
20456-0.0,0.000561423,20456,Ever addicted to illicit or recreational drugs
23124-0.0,0.000559571,23124,Arm fat mass (left)
1309-0.0,0.000549683,1309,Fresh fruit intake
20023-0.0,0.000548097,20023,Mean time to correctly identify matches
1180-0.0,0.000536427,1180,Morning/evening person (chronotype)
23112-0.0,0.000533601,23112,Leg fat mass (right)
1950-0.0,0.000533555,1950,Sensitivity / hurt feelings
20416-0.0,0.000518439,20416,Frequency of consuming six or more units of alcohol
20548-0.0-8,0.000513544,20548,Manifestations of mania or irritability
1329-0.0,0.000505731,1329,Oily fish intake
709-0.0,0.000503393,709,Number in household
2040-0.0,0.000483664,2040,Risk taking
20539-0.0,0.000471622,20539,Frequency of inability to stop worrying during worst period of anxiety
1289-0.0,0.000470412,1289,Cooked vegetable intake
