,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0221,0.8395,0.8529,0.8392,0.1039,0.6922,0.1853,0.9137,0.3044,1.4447,0.0173
inner_cv_iter1,0.0221,0.8597,0.8,0.861,0.1116,0.661,0.1958,0.9142,0.3194,1.5129,0.0173
inner_cv_iter2,0.0221,0.8197,0.8214,0.8196,0.0757,0.6411,0.1386,0.8881,0.2185,1.5599,0.0155
inner_cv_iter3,0.0221,0.8474,0.8438,0.8475,0.1038,0.6913,0.1849,0.9063,0.2696,1.4466,0.0174
inner_cv_iter4,0.0221,0.8423,0.75,0.8439,0.0775,0.5939,0.1405,0.8972,0.1179,1.6837,0.0167
inner_cv_iter5,0.0221,0.83,0.8966,0.8287,0.089,0.7253,0.162,0.9213,0.2908,1.3788,0.0153
inner_cv_iter6,0.0221,0.8271,0.8846,0.8262,0.0772,0.7108,0.142,0.9167,0.2901,1.4069,0.0133
inner_cv_iter7,0.0221,0.8239,0.7941,0.8245,0.0922,0.6187,0.1651,0.874,0.3269,1.6164,0.0177
inner_cv_iter8,0.0221,0.8474,0.8333,0.8478,0.1268,0.6811,0.2201,0.9262,0.3927,1.4682,0.02
inner_cv_iter9,0.0221,0.8413,0.9231,0.84,0.0848,0.7631,0.1553,0.9202,0.3093,1.3104,0.0127
Mean,0.0221,0.83783,0.8399800000000001,0.8378400000000001,0.09425,0.67785,0.16896,0.90779,0.28396,1.48285,0.016319999999999998
StandarDeviation,3.6387866614659135e-18,0.011812963218430872,0.0494740699760996,0.012254892900388802,0.016066377936548113,0.04814869157100741,0.02562273209476304,0.01573114426861568,0.0693799423464736,0.10692705223655985,0.0020643643089338667
Output,0.022 +- 0.0,0.838 +- 0.012,0.84 +- 0.049,0.838 +- 0.012,0.094 +- 0.016,0.678 +- 0.048,0.169 +- 0.026,0.908 +- 0.016,0.284 +- 0.069,1.483 +- 0.107,0.016 +- 0.002
