,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0205,0.8162,0.8367,0.8157,0.0958,0.6524,0.1719,0.8814,0.2405,1.5327,0.0194
inner_cv_iter1,0.0205,0.8181,0.7547,0.8197,0.0955,0.5744,0.1695,0.8812,0.1859,1.7409,0.0219
inner_cv_iter2,0.0205,0.8094,0.875,0.8078,0.0979,0.6828,0.1761,0.9144,0.3686,1.4645,0.0184
inner_cv_iter3,0.0205,0.8245,0.7931,0.8254,0.1098,0.6185,0.1929,0.8891,0.2193,1.6169,0.0229
inner_cv_iter4,0.0205,0.825,0.8049,0.8254,0.0831,0.6303,0.1507,0.8788,0.1818,1.5866,0.0172
inner_cv_iter5,0.0205,0.814,0.8431,0.8133,0.1024,0.6564,0.1826,0.9134,0.2855,1.5234,0.0207
inner_cv_iter6,0.0205,0.8174,0.8077,0.8177,0.1007,0.6254,0.1791,0.9022,0.2744,1.599,0.0205
inner_cv_iter7,0.0205,0.8139,0.8261,0.8137,0.0929,0.6397,0.167,0.881,0.2188,1.5631,0.0194
inner_cv_iter8,0.0205,0.814,0.7963,0.8145,0.1005,0.6108,0.1784,0.8928,0.2473,1.6373,0.0215
inner_cv_iter9,0.0205,0.8266,0.8718,0.8258,0.0852,0.6976,0.1553,0.9194,0.2687,1.4335,0.0157
Mean,0.020499999999999997,0.81791,0.82094,0.8179000000000001,0.09638,0.6388300000000001,0.17235,0.89537,0.24907999999999997,1.56979,0.01976
StandarDeviation,3.469446951953614e-18,0.005399157341659904,0.03532393522811409,0.005791372894228113,0.007542254304914414,0.03388837706353019,0.011916228430170345,0.01494737769643893,0.051996457571646164,0.08391947866854273,0.0020986662431172805
Output,0.02 +- 0.0,0.818 +- 0.005,0.821 +- 0.035,0.818 +- 0.006,0.096 +- 0.008,0.639 +- 0.034,0.172 +- 0.012,0.895 +- 0.015,0.249 +- 0.052,1.57 +- 0.084,0.02 +- 0.002
