,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0202,0.8176,0.8367,0.8171,0.0965,0.6539,0.173,0.8908,0.2587,1.5293,0.0191
inner_cv_iter1,0.0202,0.8144,0.7358,0.8164,0.0918,0.5522,0.1632,0.8818,0.2012,1.8109,0.0217
inner_cv_iter2,0.0202,0.8128,0.9167,0.8103,0.1033,0.727,0.1857,0.9173,0.3565,1.3755,0.0183
inner_cv_iter3,0.0202,0.8314,0.8103,0.8319,0.1158,0.6423,0.2026,0.8907,0.2591,1.557,0.0222
inner_cv_iter4,0.0202,0.8241,0.7805,0.8249,0.0806,0.6054,0.1461,0.8867,0.2113,1.6517,0.017
inner_cv_iter5,0.0202,0.8155,0.8431,0.8148,0.1031,0.6579,0.1838,0.9123,0.2777,1.52,0.0209
inner_cv_iter6,0.0202,0.8246,0.8269,0.8245,0.1064,0.6514,0.1886,0.9101,0.3213,1.5351,0.02
inner_cv_iter7,0.0202,0.813,0.8478,0.8122,0.0944,0.66,0.1699,0.8979,0.3068,1.5152,0.0187
inner_cv_iter8,0.0202,0.8182,0.7778,0.8193,0.1007,0.5971,0.1783,0.9103,0.2769,1.6749,0.021
inner_cv_iter9,0.0202,0.8276,0.8462,0.8272,0.0835,0.6734,0.1521,0.9248,0.299,1.4851,0.0155
Mean,0.0202,0.81992,0.82218,0.8198599999999999,0.09761,0.6420600000000001,0.17432999999999996,0.90227,0.27684999999999993,1.56547,0.019440000000000002
StandarDeviation,0.0,0.006221543216919755,0.04706121120413284,0.006643372637448533,0.010069404153176094,0.04520774712369551,0.01635212830184499,0.013805292463399657,0.04513588926785424,0.1136183528308697,0.0020259318843435974
Output,0.02 +- 0.0,0.82 +- 0.006,0.822 +- 0.047,0.82 +- 0.007,0.098 +- 0.01,0.642 +- 0.045,0.174 +- 0.016,0.902 +- 0.014,0.277 +- 0.045,1.565 +- 0.114,0.019 +- 0.002
