,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0259,0.8331,0.7429,0.8353,0.1,0.5782,0.1763,0.8919,0.4515,1.7296,0.018
inner_cv_iter1,0.0259,0.8297,0.875,0.8284,0.1224,0.7034,0.2147,0.9082,0.3272,1.4216,0.0215
inner_cv_iter2,0.0259,0.8301,0.8333,0.8301,0.0903,0.6634,0.1629,0.901,0.2795,1.5074,0.0164
inner_cv_iter3,0.0259,0.8487,0.7949,0.8501,0.1216,0.6449,0.2109,0.87,0.2758,1.5505,0.0214
inner_cv_iter4,0.0259,0.8162,0.92,0.8144,0.079,0.7344,0.1456,0.8949,0.3167,1.3616,0.0139
inner_cv_iter5,0.0259,0.8319,0.8214,0.8321,0.0861,0.6535,0.1559,0.9114,0.2617,1.5302,0.0161
inner_cv_iter6,0.0259,0.8465,0.8333,0.8468,0.125,0.6802,0.2174,0.9085,0.3966,1.4702,0.0196
inner_cv_iter7,0.0259,0.8474,0.875,0.8467,0.1124,0.7217,0.1993,0.9308,0.4685,1.3855,0.0155
inner_cv_iter8,0.0259,0.8378,0.9286,0.8352,0.1403,0.7637,0.2437,0.925,0.3626,1.3093,0.022
inner_cv_iter9,0.0259,0.8222,0.7442,0.8245,0.1123,0.5687,0.1951,0.8712,0.301,1.7583,0.0236
Mean,0.0259,0.83436,0.83686,0.83436,0.10894,0.67121,0.19218000000000002,0.90129,0.34411,1.50242,0.018799999999999997
StandarDeviation,0.0,0.010295843821659302,0.06138172692259481,0.010539278912715038,0.01857827763814504,0.060365262361725895,0.02966916918284029,0.019101070650620607,0.06973550673795954,0.1409111195044593,0.0031074104975043126
Output,0.026 +- 0.0,0.834 +- 0.01,0.837 +- 0.061,0.834 +- 0.011,0.109 +- 0.019,0.671 +- 0.06,0.192 +- 0.03,0.901 +- 0.019,0.344 +- 0.07,1.502 +- 0.141,0.019 +- 0.003
