,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0243,0.831,0.8,0.8318,0.1049,0.6318,0.1854,0.897,0.5075,1.5828,0.0171
inner_cv_iter1,0.0243,0.839,0.875,0.838,0.1287,0.713,0.2244,0.9243,0.38,1.4025,0.0204
inner_cv_iter2,0.0243,0.8414,0.8333,0.8415,0.0962,0.6749,0.1724,0.9088,0.3136,1.4818,0.0161
inner_cv_iter3,0.0243,0.8545,0.8205,0.8554,0.129,0.6759,0.223,0.8864,0.2447,1.4794,0.0217
inner_cv_iter4,0.0243,0.8223,0.88,0.8213,0.0786,0.7013,0.1443,0.9219,0.3783,1.4259,0.0132
inner_cv_iter5,0.0243,0.8319,0.8571,0.8314,0.0892,0.6885,0.1616,0.9214,0.3132,1.4524,0.0157
inner_cv_iter6,0.0243,0.8536,0.8611,0.8534,0.1336,0.7145,0.2313,0.9107,0.4019,1.3996,0.0192
inner_cv_iter7,0.0243,0.8385,0.8125,0.8391,0.1008,0.6516,0.1793,0.9279,0.5625,1.5347,0.0142
inner_cv_iter8,0.0243,0.8331,0.881,0.8317,0.1317,0.7127,0.2291,0.9322,0.3516,1.4032,0.0221
inner_cv_iter9,0.0243,0.8195,0.7674,0.8211,0.1134,0.5885,0.1976,0.8909,0.2897,1.6992,0.0238
Mean,0.024299999999999995,0.8364799999999999,0.83879,0.8364699999999999,0.11061000000000001,0.6752699999999999,0.19483999999999999,0.9121500000000001,0.37429999999999997,1.4861499999999999,0.018349999999999998
StandarDeviation,1.097135458930219e-18,0.010973950974922398,0.036443283331774594,0.011027968987986867,0.018617381663381134,0.03898156102569521,0.02944626292078504,0.015283275172553823,0.09265961364046366,0.09126399344758042,0.003424981751776205
Output,0.024 +- 0.0,0.836 +- 0.011,0.839 +- 0.036,0.836 +- 0.011,0.111 +- 0.019,0.675 +- 0.039,0.195 +- 0.029,0.912 +- 0.015,0.374 +- 0.093,1.486 +- 0.091,0.018 +- 0.003
