Pheno_code,AUC_mean,AUC_std,p_delong,AUC_0,AUC_1,AUC_2,AUC_3,AUC_4,AUC_5,AUC_6,AUC_7,AUC_8,AUC_9,FieldID,Path,Category,FieldName,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Notes
20546-0.0-4,0.91,0.006,0.102298588,0.898,0.918,0.901,0.909,0.913,0.907,0.913,0.916,0.911,0.918,20546,Online follow-up > Mental health > Depression,138,Drugs or alcohol  taken for depression,45709,54575,Accruing,Categorical multiple,,Data,Primary,Unisex,1,3,"Question asked: \Did you ever try the following for these problems? (tick all that apply)\""  Participant was offered a set of options which have been combined here into a single answer  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
20513-0.0,0.911,0.006,0.123123124,0.899,0.917,0.903,0.909,0.913,0.908,0.913,0.917,0.912,0.919,20513,Online follow-up > Mental health > Depression,138,Recent thoughts of suicide or self-harm,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Over the last 2 weeks
189-0.0,0.911,0.007,0.810844458,0.898,0.918,0.903,0.91,0.914,0.907,0.914,0.916,0.912,0.92,189,Population characteristics > Baseline characteristics,100094,Townsend deprivation index ,501861,501861,Complete,Continuous,,Data,Derived,Unisex,1,1,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.
699-0.0,0.912,0.006,0.056550896,0.898,0.918,0.904,0.91,0.916,0.908,0.913,0.916,0.913,0.92,699,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Length of time at current address,501634,574060,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many years have you lived at your current address?\"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure"
20441-0.0,0.912,0.006,0.62477024,0.898,0.918,0.903,0.911,0.916,0.908,0.914,0.915,0.912,0.92,20441,Online follow-up > Mental health > Depression,138,Prolonged loss of interest in normal activities,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Have you ever had a time in your life lasting two weeks or more when you lost interest in most things like hobbies
20461-0.0,0.912,0.006,0.006378958,0.899,0.919,0.905,0.91,0.915,0.908,0.915,0.916,0.913,0.921,20461,Online follow-up > Mental health > Unusual and psychotic experiences,144,Age at first psychotic experience,7801,7801,Accruing,Integer,,Data,Primary,Unisex,1,1,Question asked: \How old were you (approximately) when you first had one of these experiences (seeing a vision
99999995-0.0,0.912,0.006,0.992763159,0.899,0.919,0.905,0.91,0.915,0.908,0.915,0.916,0.913,0.922,99999995,,,Mental distress,,,,,,,,,,,Mental distress
20488-0.0,0.912,0.007,0.413354311,0.899,0.919,0.904,0.91,0.915,0.907,0.915,0.916,0.913,0.921,20488,Online follow-up > Mental health > Traumatic events,145,Physically abused by family as a child,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \When I was growing up... People in my family hit me so hard that it left me with bruises or marks\"""""
3669-0.0,0.913,0.007,0.004557599,0.899,0.921,0.905,0.91,0.916,0.908,0.916,0.916,0.914,0.922,3669,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Number of same-sex sexual partners,16341,18564,Complete,Integer,,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many sexual partners of the same sex have you had in your lifetime?\"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal"
20455-0.0,0.913,0.007,0.405112448,0.898,0.921,0.905,0.91,0.916,0.909,0.915,0.917,0.915,0.921,20455,Online follow-up > Mental health > Cannabis use,143,Age when last took cannabis,34880,34880,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you when you last had cannabis?\""  Question was asked unless the answer to ~F20453~ was No."""
20161-0.0,0.913,0.007,0.55170899,0.899,0.92,0.905,0.911,0.916,0.909,0.916,0.917,0.915,0.921,20161,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,Pack years of smoking,152641,168670,Complete,Continuous,years,Data,Derived,Unisex,4,1,"Pack years calculated for individuals who have ever smoked according to data field Ever smoking status=1, using appropriate data: Current cigarette (either manufactured or hand rolled) smokers who smoke most days (smoking data fields used: ~F3436~ and ~F6183~). Past cigarette (either manufactured or hand rolled) smokers who smoked most days (smoking data fields used: ~F2867~, ~F2897~ and ~F2887~). Current cigar/pipe smokers who smoked most days and previously smoked cigarettes (smoking data fields used: ~F3436~, ~F6194~ and ~F6183~). The general definition of a pack year is the number of cigarettes smoked per day, divided by twenty, multiplied by the number of years of smoking. The number of years of smoking is calculated by substracting the age of starting smoking from the age smoking was stopped.   Number of cigarettes per day / 20 * (Age stopped smoking - Age start smoking)  The figure is adjusted for individuals who gave up smoking for more than 6 months, according to data fields 2907 or 3486 by subtracting six months from the number of years of smoking.  Number of cigarettes per day / 20 * (Age stopped smoking - Age start smoking - 0.5)  Note: Individuals who started and gave up smoking before 16 years of age were coded as NA. For individuals who started smoking before 16 but gave up after 16, their age start was set as 16. Individuals who reported starting and stopping smoking at the same age and reported giving up smoking for more than 6 months had pack-years set at 0.   This derived data field has come from Professor Martin Tobin at the University of Leicester."
1458-0.0,0.913,0.007,0.1878785,0.899,0.921,0.905,0.91,0.916,0.909,0.916,0.916,0.915,0.921,1458,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Cereal intake,501504,573913,Complete,Integer,bowls/week,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many bowls of cereal do you eat a WEEK?\"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 14 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure"
20454-0.0,0.913,0.006,0.650026731,0.899,0.921,0.906,0.911,0.916,0.909,0.916,0.916,0.914,0.921,20454,Online follow-up > Mental health > Cannabis use,143,Maximum frequency of taking cannabis,34880,34880,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Considering when you were taking cannabis most regularly
