Pheno_code,ShapValues_cv,TotalGain_cv,TotalCover_cv,Ensemble,FieldID,Path,Category,FieldName,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Notes
699-0.0,0.030195881,0.007709008,0.022244444,0.020049778,699,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Length of time at current address,501634,574060,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many years have you lived at your current address?\"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure"
20441-0.0,0.011828907,0.005921014,0.001866667,0.006538862,20441,Online follow-up > Mental health > Depression,138,Prolonged loss of interest in normal activities,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Have you ever had a time in your life lasting two weeks or more when you lost interest in most things like hobbies
20461-0.0,0.004773442,0.005658714,0.012244444,0.007558867,20461,Online follow-up > Mental health > Unusual and psychotic experiences,144,Age at first psychotic experience,7801,7801,Accruing,Integer,,Data,Primary,Unisex,1,1,Question asked: \How old were you (approximately) when you first had one of these experiences (seeing a vision
99999995-0.0,0.00798026,0.005250372,0.006155556,0.006462063,99999995,,,Mental distress,,,,,,,,,,,Mental distress
20488-0.0,0.006698552,0.00515368,0.0118,0.007884078,20488,Online follow-up > Mental health > Traumatic events,145,Physically abused by family as a child,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \When I was growing up... People in my family hit me so hard that it left me with bruises or marks\"""""
3669-0.0,0.008039835,0.004769083,0.014444444,0.009084454,3669,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Number of same-sex sexual partners,16341,18564,Complete,Integer,,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many sexual partners of the same sex have you had in your lifetime?\"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal"
20455-0.0,0.013645317,0.003869873,0.009555556,0.009023582,20455,Online follow-up > Mental health > Cannabis use,143,Age when last took cannabis,34880,34880,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you when you last had cannabis?\""  Question was asked unless the answer to ~F20453~ was No."""
20161-0.0,0.002873989,0.003794472,0.006355556,0.004341339,20161,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,Pack years of smoking,152641,168670,Complete,Continuous,years,Data,Derived,Unisex,4,1,"Pack years calculated for individuals who have ever smoked according to data field Ever smoking status=1, using appropriate data: Current cigarette (either manufactured or hand rolled) smokers who smoke most days (smoking data fields used: ~F3436~ and ~F6183~). Past cigarette (either manufactured or hand rolled) smokers who smoked most days (smoking data fields used: ~F2867~, ~F2897~ and ~F2887~). Current cigar/pipe smokers who smoked most days and previously smoked cigarettes (smoking data fields used: ~F3436~, ~F6194~ and ~F6183~). The general definition of a pack year is the number of cigarettes smoked per day, divided by twenty, multiplied by the number of years of smoking. The number of years of smoking is calculated by substracting the age of starting smoking from the age smoking was stopped.   Number of cigarettes per day / 20 * (Age stopped smoking - Age start smoking)  The figure is adjusted for individuals who gave up smoking for more than 6 months, according to data fields 2907 or 3486 by subtracting six months from the number of years of smoking.  Number of cigarettes per day / 20 * (Age stopped smoking - Age start smoking - 0.5)  Note: Individuals who started and gave up smoking before 16 years of age were coded as NA. For individuals who started smoking before 16 but gave up after 16, their age start was set as 16. Individuals who reported starting and stopping smoking at the same age and reported giving up smoking for more than 6 months had pack-years set at 0.   This derived data field has come from Professor Martin Tobin at the University of Leicester."
1458-0.0,0.007755947,0.00282578,0.011466667,0.007349464,1458,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Cereal intake,501504,573913,Complete,Integer,bowls/week,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many bowls of cereal do you eat a WEEK?\"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 14 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure"
20454-0.0,0.008807324,0.002738628,0.004822222,0.005456058,20454,Online follow-up > Mental health > Cannabis use,143,Maximum frequency of taking cannabis,34880,34880,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Considering when you were taking cannabis most regularly
1883-0.0,0.005983851,0.002424527,0.009155556,0.005854645,1883,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Number of full sisters,494274,565706,Complete,Integer,,Data,Primary,Unisex,4,1,ACE touchscreen question \How many sisters do you have? (Please include those who have died
680-0.0,0.004521085,0.002326608,0.008355556,0.00506775,680,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Own or rent accommodation lived in,500260,572580,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \Do you own or rent the accommodation that you live in?\"" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home"
20493-0.0,0.006223403,0.002286085,0.004644444,0.004384644,20493,Online follow-up > Mental health > Mania,139,Severity of problems due to mania or irritability,42493,42493,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \How much of a problem have these \""high\"" or \""irritable\"" periods caused you?\""  Question was asked when ~F20501~ was Yes or ~F20502~ was Yes."""
20465-0.0,0.001277056,0.002060358,0.007155556,0.003497657,20465,Online follow-up > Mental health > Unusual and psychotic experiences,144,Number of times heard an un-real voice,2776,2776,Accruing,Integer,,Data,Primary,Unisex,1,1,Question asked: \About how many times in your life did this happen (when you were not dreaming
1930-0.0,0.010109938,0.001977492,0.003711111,0.00526618,1930,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Miserableness,501597,574023,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \Do you ever feel 'just miserable' for no reason?\"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     """
20536-0.0,0.008254748,0.001942364,0.008422222,0.006206445,20536,Online follow-up > Mental health > Depression,138,Weight change during worst episode of depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Did you gain or lose weight without trying
99999998-0.0,0.005025914,0.001763766,0.005333333,0.004041005,99999998,,,Depression symptom,,,,,,,,,,,Depression symptom
20406-0.0,0.002353144,0.00173751,0.005022222,0.003037626,20406,Online follow-up > Mental health > Addictions,141,Ever addicted to alcohol,9379,9379,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Have you been addicted to alcohol?\""  Question was asked when ~F20401~ was Yes."""
20501-0.0,0.001283641,0.001661761,0.005666667,0.00287069,20501,Online follow-up > Mental health > Mania,139,Ever had period of mania / excitability,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Have you ever had a period of time when you were feeling so good
20492-0.0,0.006152212,0.001461324,0.002488889,0.003367475,20492,Online follow-up > Mental health > Mania,139,Longest period of mania or irritability,42493,42493,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \What is the longest time that these \""high\"" or \""irritable\"" periods have lasted?\""  Question was asked when ~F20501~ was Yes or ~F20502~ was Yes."""
2188-0.0,0.003546486,0.001398742,0.006044444,0.003663224,2188,UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,100042,"Long-standing illness, disability or infirmity",501583,574009,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Do you have any long-standing illness
20522-0.0,0.003445851,0.001380713,0.005688889,0.003505151,20522,Online follow-up > Mental health > Traumatic events,145,Been in a confiding relationship as an adult,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Since I was sixteen... I have been in a confiding relationship\"""""
2159-0.0,0.002102148,0.001327107,0.003911111,0.002446789,2159,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Ever had same-sex intercourse,452367,516582,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \Have you ever had sexual intercourse with someone of the same sex?\"" If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal"
2946-0.0,0.00106354,0.001298089,0.006066667,0.002809432,2946,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Father's age,114715,124514,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \What is his age now?\"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F2946~ was collected from participants who indicated their father is still alive"
46-0.0,0.001143168,0.001288141,0.0054,0.002610436,46,UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,Hand grip strength (left),499248,570035,Complete,Integer,Kg,Data,Primary,Unisex,4,1,Left grip strength
21000-0.0,0.004986983,0.00124449,0.004777778,0.00366975,21000,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Ethnicity,100065,Ethnic background,501592,533589,Complete,Categorical single,,Data,Derived,Unisex,3,1,This is an amalgam of sequential branching questions asked during the initial Assessment Centre visit as part of the touchscreen questionnaire.    The question was dropped from the touchscreen protocol on 24/10/2016.
20439-0.0,0.002487254,0.001222751,0.004688889,0.002799631,20439,Online follow-up > Mental health > Depression,138,Frequency of depressed days during worst episode of depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Did you feel this way\""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
23111-0.0,0.001163293,0.001196643,0.005266667,0.002542201,23111,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body composition by impedance,100009,Leg fat percentage (right),493039,562131,Complete,Continuous,percent,Data,Derived,Unisex,4,1,Body composition estimation by impedance measurement. Right leg fat percentages Range 1-75% in 0.1% increments.
21022-0.0,0.001465822,0.001132339,0.004911111,0.002503091,21022,Population characteristics > Baseline characteristics,100094,Age at recruitment,502484,502484,Complete,Integer,years,Data,Derived,Unisex,1,1,"This is a derived variable based on date of birth and date of attending an initial assessment centre and refers to the age of the participant on the day they attended an Initial Assessment Centre, truncated to whole year."
3526-0.0,0.001102267,0.001042362,0.004911111,0.002351913,3526,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Mother's age at death,309882,351564,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \What was her age when she died?\"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F3526~ was collected from participants who indicated their mother has died"
20414-0.0,0.002902776,0.001024529,0.004555556,0.00282762,20414,Online follow-up > Mental health > Alcohol use,142,Frequency of drinking alcohol,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \How often do you have a drink containing alcohol?\"""""
20496-0.0,0.001666405,0.001000866,0.003222222,0.001963164,20496,Online follow-up > Mental health > Traumatic events,145,Felt distant from other people in past month,71184,71184,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Please indicate how much you have been bothered by that problem in the past month: Feeling distant or cut off from other people?\""  Question was asked when ~F20497~ or ~F20498~ or ~F20495~ was at least \""A little bit\""."""
20434-0.0,0.005698609,0.000994131,0.004844444,0.003845728,20434,Online follow-up > Mental health > Depression,138,Age at last episode of depression,89028,89028,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you the LAST time you had a period of two weeks like this? (Whether or not you received any help for it.)\""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
20410-0.0,0.000823477,0.000993317,0.004244444,0.002020413,20410,Online follow-up > Mental health > Alcohol use,142,Age when known person last commented about drinking habits,7021,7021,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you when somebody last commented this way about your drinking habits?\""  Question was asked when ~F20405~ was Yes."""
20449-0.0,0.003655559,0.000991333,0.005155556,0.003267483,20449,Online follow-up > Mental health > Depression,138,Feelings of tiredness during worst episode of depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Did you feel more tired out or low on energy than is usual for you?\""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
20440-0.0,0.001597048,0.000981538,0.004577778,0.002385455,20440,Online follow-up > Mental health > Depression,138,Impact on normal roles during worst period of depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Think about your roles at the time of this episode
20403-0.0,0.00353079,0.00097019,0.004222222,0.002907734,20403,Online follow-up > Mental health > Alcohol use,142,Amount of alcohol drunk on a typical drinking day,143655,143655,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In the next two questions
20453-0.0,0.004037987,0.000937309,0.002377778,0.002451025,20453,Online follow-up > Mental health > Cannabis use,143,Ever taken cannabis,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Have you taken CANNABIS (marijuana
1299-0.0,0.003457729,0.000899417,0.004488889,0.002948678,1299,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Salad / raw vegetable intake,501608,574034,Complete,Integer,tablespoons/day,Data,Primary,Unisex,4,1,ACE touchscreen question \On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY? (Include lettuce
20466-0.0,0.000547698,0.00089617,0.004044444,0.001829438,20466,Online follow-up > Mental health > Unusual and psychotic experiences,144,Ever prescribed a medication for unusual or psychotic experiences,7801,7801,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Were you ever prescribed a medication by a health professional for any of these experiences (seeing a vision
757-0.0,0.001752446,0.000895132,0.004555556,0.002401045,757,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Time employed in main current job,288417,315176,Complete,Integer,years,Data,Primary,Unisex,4,1,ACE touchscreen question \How many years have you worked in your current job? (If you have more than one job please answer this
20116-0.0,0.00162721,0.00087163,0.002355556,0.001618132,20116,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,Smoking status,501610,574036,Complete,Categorical single,,Data,Derived,Unisex,4,1,This field summarises the current/past smoking status of the participant.
1488-0.0,0.002060994,0.00085652,0.004133333,0.002350282,1488,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Tea intake,501604,574030,Complete,Integer,cups/day,Data,Primary,Unisex,4,1,"ACE touchscreen question \How many cups of tea do you drink each DAY? (Include black and green tea)\"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure"
20160-0.0,0.001058534,0.000854892,0.002533333,0.001482253,20160,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,Ever smoked,499726,571825,Complete,Categorical single,,Data,Derived,Unisex,4,1,"Derived using variables \Current tobacco smoking\"" (~F1239~) and \""Past tobacco smoking\"" (~F1249~).  Individual classed as Eversmoker if Current tobacco smoking= most days (1) or occasionally (2) OR Past tobacco smoking= most days (1) or occasionally (2) or tried once or twice (3).   Individual were classed as Neversmoker if Current tobacco smoking= no (0) AND Past tobacco smoking= never (4).   Individuals who answered to either question \""Do not know\"" (-1) \""Prefer not to answer\"" (-3) and \""None of the above\"" (-7) were not coded.   This derived data field has come from Professor Martin Tobin at the University of Leicester."""
20411-0.0,0.000998672,0.000821895,0.003311111,0.001710559,20411,Online follow-up > Mental health > Alcohol use,142,Ever been injured or injured someone else through drinking alcohol,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Have you or someone else been injured as a result of your drinking?\"""""
2110-0.0,0.00106791,0.000821307,0.004622222,0.00217048,2110,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,100061,Able to confide,501589,574015,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \How often are you able to confide in someone close to you?\"""""
2050-0.0,0.004287242,0.000812684,0.001466667,0.002188864,2050,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of depressed mood in last 2 weeks,501594,574020,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Over the past two weeks
47-0.0,0.001524311,0.000807888,0.003711111,0.002014437,47,UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,Hand grip strength (right),499320,570120,Complete,Integer,Kg,Data,Primary,Unisex,4,1,Right grip strength
20546-0.0-3,0.001652241,0.000800761,0.002555556,0.001669519,20546,Online follow-up > Mental health > Depression,138,Drugs or alcohol  taken for depression,45709,54575,Accruing,Categorical multiple,,Data,Primary,Unisex,1,3,"Question asked: \Did you ever try the following for these problems? (tick all that apply)\""  Participant was offered a set of options which have been combined here into a single answer  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
4079-0.0,0.001176976,0.000776231,0.003555556,0.001836254,4079,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,"Diastolic blood pressure, automated reading",475172,1053731,Complete,Integer,mmHg,Data,Primary,Unisex,4,2,"Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart.  Range returned by the Omron device is is 0-255"
2060-0.0,0.000956122,0.000757467,0.0008,0.000837863,2060,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of unenthusiasm / disinterest in last 2 weeks,501593,574019,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Over the past two weeks
728-0.0,0.004632256,0.000753857,0.002666667,0.00268426,728,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Number of vehicles in household,500256,572576,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \How many cars or vans are owned
2090-0.0,0.005907575,0.00073854,0.000511111,0.002385742,2090,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,"Seen doctor (GP) for nerves, anxiety, tension or depression",501590,574016,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Have you ever seen a general practitioner (GP) for nerves
