,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0219,0.8112,0.9268,0.807,0.1496,0.7338,0.2576,0.9329,0.392,1.3628,0.0272
inner_cv_iter1,0.0219,0.8085,0.7188,0.8109,0.0939,0.5297,0.1661,0.8113,0.1647,1.888,0.0246
inner_cv_iter2,0.0219,0.8318,0.8462,0.8313,0.1441,0.6775,0.2463,0.9241,0.2677,1.4761,0.0274
inner_cv_iter3,0.0219,0.817,0.9259,0.8143,0.1101,0.7403,0.1969,0.9546,0.3529,1.3509,0.0187
inner_cv_iter4,0.0219,0.8276,0.7857,0.8286,0.1014,0.6144,0.1796,0.8963,0.237,1.6277,0.0205
inner_cv_iter5,0.0219,0.8214,0.75,0.8234,0.1053,0.5734,0.1846,0.861,0.3234,1.7441,0.0218
inner_cv_iter6,0.0219,0.8385,0.8235,0.8389,0.1327,0.6624,0.2286,0.9027,0.2883,1.5096,0.0245
inner_cv_iter7,0.0219,0.8092,0.8667,0.8078,0.1008,0.6745,0.1806,0.9064,0.3374,1.4827,0.0195
inner_cv_iter8,0.0219,0.8114,0.6923,0.8141,0.0769,0.5064,0.1385,0.8645,0.2157,1.9746,0.0191
inner_cv_iter9,0.0219,0.8094,0.8095,0.8094,0.1308,0.619,0.2252,0.9328,0.5207,1.6156,0.0245
Mean,0.0219,0.8186,0.81454,0.81857,0.11456,0.63314,0.2004,0.8986599999999999,0.30998000000000003,1.60321,0.02278
StandarDeviation,0.0,0.01021400998628844,0.0761170046704414,0.010631467443396514,0.022375173742342207,0.07552030455447066,0.03589373204335263,0.04051313860959182,0.0956467333472503,0.2001346769053279,0.0031179480431848122
Output,0.022 +- 0.0,0.819 +- 0.01,0.815 +- 0.076,0.819 +- 0.011,0.115 +- 0.022,0.633 +- 0.076,0.2 +- 0.036,0.899 +- 0.041,0.31 +- 0.096,1.603 +- 0.2,0.023 +- 0.003
