,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0216,0.8069,0.9268,0.8025,0.1467,0.7293,0.2533,0.9315,0.3826,1.3711,0.0273
inner_cv_iter1,0.0216,0.8068,0.6875,0.8101,0.0898,0.4976,0.1588,0.8043,0.1721,2.0098,0.0243
inner_cv_iter2,0.0216,0.8335,0.8718,0.8322,0.1485,0.704,0.2537,0.9188,0.2714,1.4205,0.0271
inner_cv_iter3,0.0216,0.8224,0.9259,0.8199,0.1131,0.7458,0.2016,0.9544,0.3165,1.3409,0.0191
inner_cv_iter4,0.0216,0.831,0.7857,0.8322,0.1033,0.6179,0.1826,0.8946,0.2208,1.6184,0.0207
inner_cv_iter5,0.0216,0.8189,0.7188,0.8216,0.1004,0.5404,0.1762,0.858,0.3275,1.8505,0.0218
inner_cv_iter6,0.0216,0.8393,0.7941,0.8407,0.1298,0.6348,0.2231,0.9019,0.2483,1.5753,0.0253
inner_cv_iter7,0.0216,0.8092,0.8333,0.8086,0.0977,0.6419,0.1748,0.9055,0.3444,1.5578,0.0194
inner_cv_iter8,0.0216,0.814,0.7308,0.8158,0.0815,0.5466,0.1467,0.8452,0.2195,1.8295,0.0192
inner_cv_iter9,0.0216,0.8094,0.8571,0.8078,0.1364,0.6649,0.2353,0.9302,0.4798,1.504,0.0253
Mean,0.0216,0.81914,0.81318,0.81914,0.11472,0.63232,0.20061,0.8944399999999998,0.29829,1.60778,0.022949999999999998
StandarDeviation,3.6387866614659135e-18,0.011340917070501855,0.07999630991489544,0.011924948637205963,0.02283330024328502,0.07920533820393673,0.03680446847870514,0.04347010927062411,0.08644279553554478,0.21129245514215594,0.0031126355392175294
Output,0.022 +- 0.0,0.819 +- 0.011,0.813 +- 0.08,0.819 +- 0.012,0.115 +- 0.023,0.632 +- 0.079,0.201 +- 0.037,0.894 +- 0.043,0.298 +- 0.086,1.608 +- 0.211,0.023 +- 0.003
