,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0235,0.8259,0.8667,0.8248,0.1161,0.6914,0.2047,0.905,0.4554,1.4462,0.0191
inner_cv_iter1,0.0235,0.8354,0.8571,0.8349,0.1176,0.692,0.2069,0.9552,0.459,1.4451,0.0173
inner_cv_iter2,0.0235,0.8436,1.0,0.8401,0.125,0.8401,0.2222,0.9605,0.4093,1.1904,0.0167
inner_cv_iter3,0.0235,0.832,0.8235,0.8322,0.1228,0.6557,0.2137,0.8995,0.2499,1.525,0.0236
inner_cv_iter4,0.0235,0.8278,0.6667,0.8297,0.0444,0.4964,0.0833,0.8851,0.0638,2.0146,0.0125
inner_cv_iter5,0.0235,0.8532,0.8667,0.8529,0.134,0.7196,0.2321,0.9433,0.4294,1.3897,0.0198
inner_cv_iter6,0.0235,0.8435,0.7143,0.8453,0.0588,0.5595,0.1087,0.9356,0.1935,1.7872,0.013
inner_cv_iter7,0.0235,0.8287,0.9091,0.8256,0.1639,0.7347,0.2778,0.9104,0.4389,1.361,0.028
inner_cv_iter8,0.0235,0.8297,0.7778,0.8305,0.0714,0.6083,0.1308,0.8961,0.2348,1.6439,0.0159
inner_cv_iter9,0.0235,0.8538,0.75,0.8577,0.163,0.6077,0.2679,0.8853,0.4636,1.6456,0.028
Mean,0.0235,0.83736,0.82319,0.83737,0.1117,0.66054,0.19480999999999998,0.9176000000000002,0.33976,1.54487,0.01939
StandarDeviation,0.0,0.009933700216938304,0.09345678627044694,0.010771355532151007,0.03893569056790954,0.09266454769759576,0.06238409172216904,0.027089961240282366,0.1350053124880647,0.22426392955622626,0.005275689528393421
Output,0.024 +- 0.0,0.837 +- 0.01,0.823 +- 0.093,0.837 +- 0.011,0.112 +- 0.039,0.661 +- 0.093,0.195 +- 0.062,0.918 +- 0.027,0.34 +- 0.135,1.545 +- 0.224,0.019 +- 0.005
