,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0267,0.8414,0.9333,0.8389,0.1333,0.7723,0.2333,0.9226,0.5015,1.2949,0.0185
inner_cv_iter1,0.0267,0.8587,0.7857,0.8606,0.1264,0.6463,0.2178,0.9427,0.5606,1.5474,0.0164
inner_cv_iter2,0.0267,0.866,1.0,0.8629,0.1429,0.8629,0.25,0.9697,0.4863,1.1589,0.0153
inner_cv_iter3,0.0267,0.8613,0.8824,0.8607,0.1531,0.7431,0.2609,0.9014,0.2831,1.3457,0.0237
inner_cv_iter4,0.0267,0.8356,0.8333,0.8356,0.0568,0.669,0.1064,0.8964,0.0801,1.4948,0.0126
inner_cv_iter5,0.0267,0.8857,0.9333,0.8844,0.175,0.8177,0.2947,0.9454,0.4168,1.2229,0.0193
inner_cv_iter6,0.0267,0.8664,0.8571,0.8665,0.08,0.7237,0.1463,0.9428,0.2473,1.3818,0.013
inner_cv_iter7,0.0267,0.855,0.9091,0.853,0.1887,0.7621,0.3125,0.9248,0.4309,1.3122,0.0285
inner_cv_iter8,0.0267,0.8535,0.6667,0.8566,0.0723,0.5233,0.1304,0.8852,0.3001,1.911,0.0153
inner_cv_iter9,0.0267,0.8663,0.65,0.8743,0.1605,0.5243,0.2574,0.8725,0.4973,1.9073,0.0265
Mean,0.0267,0.8589900000000001,0.8450899999999999,0.8593500000000001,0.12890000000000001,0.7044699999999999,0.22096999999999997,0.92035,0.3804,1.45769,0.01891
StandarDeviation,0.0,0.013337499765698212,0.1089687794737557,0.013958026364783806,0.04277877978624449,0.10845780792547856,0.06681694470716243,0.02923895517969135,0.1413166515312332,0.25048651241134723,0.005291020695480222
Output,0.027 +- 0.0,0.859 +- 0.013,0.845 +- 0.109,0.859 +- 0.014,0.129 +- 0.043,0.704 +- 0.108,0.221 +- 0.067,0.92 +- 0.029,0.38 +- 0.141,1.458 +- 0.25,0.019 +- 0.005
