Feature,Importance,FieldID,FieldName
20500-0.0,0.182368489,20500,Suffering mental distress 
20450-0.0,0.118608238,20450,Feelings of worthlessness
20433-0.0,0.097627113,20433,Age at first episode of depression
20437-0.0,0.076073928,20437,Thoughts of death during depression
2100-0.0,0.074867098,2100,Seen psychiatrists for  anxiety/depression
20499-0.0,0.052968231,20499,Ever sought/received help for mental distress
20544-0.0-11,0.045550307,20544,Depression diagnosed by professional
20531-0.0,0.030210736,20531,Victim of sexual assault
20489-0.0,0.028756113,20489,Felt loved as a child
2149-0.0,0.022846086,2149,Lifetime number of sexual partners
20487-0.0,0.018808524,20487,Felt hated by family member as a child
20523-0.0,0.017103355,20523,Physical violence by partners
20521-0.0,0.015582896,20521,Belittlement by partners
2139-0.0,0.013690636,2139,Age first had sexual intercourse
99999992-0.0,0.013511168,99999992,Traumatic events
20162-0.0,0.012415547,20162,Smoking years as proportion of life span
189-0.0,0.010275895,189,Townsend deprivation index 
20436-0.0,0.010228077,20436,Fraction of day affected during depression
20513-0.0,0.009797409,20513,Recent thoughts of suicide or self-harm
20546-0.0-4,0.008547558,20546,Drugs or alcohol  taken for depression
699-0.0,0.007670673,699,Length of time at current address
20488-0.0,0.006577919,20488,Physically abused by family as a child
20461-0.0,0.005588915,20461,Age at first psychotic experience
3669-0.0,0.005235457,3669,Number of same-sex sexual partners
20161-0.0,0.003151274,20161,Pack years of smoking
1458-0.0,0.003134772,1458,Cereal intake
20455-0.0,0.002881995,20455,Age when last took cannabis
99999995-0.0,0.002796236,99999995,Mental distress
20406-0.0,0.002744058,20406,Ever addicted to alcohol
20465-0.0,0.002489297,20465,Number of times heard an un-real voice
20493-0.0,0.002413957,20493,Severity of problems due to mania or irritability
20441-0.0,0.002029808,20441,Prolonged loss of interest in normal activities
1930-0.0,0.001854257,1930,Miserableness
2159-0.0,0.001750678,2159,Ever had same-sex intercourse
680-0.0,0.001593314,680,Own or rent accommodation lived in
20536-0.0,0.001558538,20536,Weight change during worst episode of depression
46-0.0,0.001524078,46,Hand grip strength (left)
2050-0.0,0.001485795,2050,Frequency of depressed mood in last 2 weeks
99999998-0.0,0.001462507,99999998,Depression symptom
20454-0.0,0.001458712,20454,Maximum frequency of taking cannabis
20501-0.0,0.001421932,20501,Ever had period of mania / excitability
757-0.0,0.001410023,757,Time employed in main current job
23111-0.0,0.00139787,23111,Leg fat percentage (right)
20462-0.0,0.001360864,20462,Distress caused by unusual or psychotic experiences
1883-0.0,0.001326095,1883,Number of full sisters
20403-0.0,0.001228543,20403,Amount of alcohol drunk on a typical drinking day
728-0.0,0.001207836,728,Number of vehicles in household
2188-0.0,0.001188584,2188,"Long-standing illness, disability or infirmity"
20410-0.0,0.001164646,20410,Age when known person last commented about drinking habits
20414-0.0,0.001104917,20414,Frequency of drinking alcohol
20522-0.0,0.001102834,20522,Been in a confiding relationship as an adult
2110-0.0,0.001101351,2110,Able to confide
21022-0.0,0.001097547,21022,Age at recruitment
20434-0.0,0.001083671,20434,Age at last episode of depression
2946-0.0,0.001065196,2946,Father's age
20411-0.0,0.001032948,20411,Ever been injured or injured someone else through drinking alcohol
20492-0.0,0.001018443,20492,Longest period of mania or irritability
20546-0.0-3,0.001011301,20546,Drugs or alcohol  taken for depression
20116-0.0,0.000989985,20116,Smoking status
47-0.0,0.000950766,47,Hand grip strength (right)
20439-0.0,0.000936159,20439,Frequency of depressed days during worst episode of depression
1299-0.0,0.000923661,1299,Salad / raw vegetable intake
3526-0.0,0.000921064,3526,Mother's age at death
20127-0.0,0.000913553,20127,Neuroticism score
2966-0.0,0.000882593,2966,Age high blood pressure diagnosed
23100-0.0,0.000874467,23100,Whole body fat mass
1807-0.0,0.000854554,1807,Father's age at death
20466-0.0,0.000853813,20466,Ever prescribed a medication for unusual or psychotic experiences
20440-0.0,0.000818033,20440,Impact on normal roles during worst period of depression
1488-0.0,0.000809793,1488,Tea intake
20160-0.0,0.000733759,20160,Ever smoked
3456-0.0,0.000715571,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
20449-0.0,0.000698569,20449,Feelings of tiredness during worst episode of depression
767-0.0,0.000695225,767,Length of working week for main job
20453-0.0,0.000684047,20453,Ever taken cannabis
23116-0.0,0.000635525,23116,Leg fat mass (left)
20023-0.0,0.000628751,20023,Mean time to correctly identify matches
20544-0.0-4,0.000611067,20544,Depression diagnosed by professional
23115-0.0,0.000603827,23115,Leg fat percentage (left)
23112-0.0,0.000596915,23112,Leg fat mass (right)
20456-0.0,0.000587844,20456,Ever addicted to illicit or recreational drugs
20477-0.0,0.000578908,20477,Ever talked to a health professional about unusual or psychotic experiences
2060-0.0,0.000572369,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
20519-0.0,0.000567551,20519,Recent feelings of tiredness or low energy
3476-0.0,0.000559295,3476,Difficulty not smoking for 1 day
4288-0.0,0.000554255,4288,Time to answer
21000-0.0,0.000531389,21000,Ethnic background
21021-0.0,0.000527842,21021,Pulse wave Arterial Stiffness index
23113-0.0,0.00051622,23113,Leg fat-free mass (right)
2090-0.0,0.000513188,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
23104-0.0,0.00050909,23104,Body mass index (BMI)
1289-0.0,0.000503171,1289,Cooked vegetable intake
3486-0.0,0.000494429,3486,Ever tried to stop smoking
22040-0.0,0.00049064,22040,Summed MET minutes per week for all activity
670-0.0,0.000487229,670,Type of accommodation lived in
20539-0.0,0.000479542,20539,Frequency of inability to stop worrying during worst period of anxiety
94-0.0,0.0004701,94,"Diastolic blood pressure, manual reading"
20442-0.0,0.000465968,20442,Lifetime number of depressed periods
1279-0.0,0.000451551,1279,Exposure to tobacco smoke outside home
23119-0.0,0.000451454,23119,Arm fat percentage (right)
1329-0.0,0.000450239,1329,Oily fish intake
400-0.1,0.00044751,400,Time to complete round
1309-0.0,0.000433098,1309,Fresh fruit intake
20416-0.0,0.000425273,20416,Frequency of consuming six or more units of alcohol
20504-0.0,0.00042318,20504,Ongoing addiction or dependence to over-the-counter medication
23128-0.0,0.00041382,23128,Trunk fat mass
1339-0.0,0.000407588,1339,Non-oily fish intake
20022-0.0,0.000400538,20022,Birth weight
23117-0.0,0.000396115,23117,Leg fat-free mass (left)
20496-0.0,0.000395616,20496,Felt distant from other people in past month
23107-0.0,0.000395486,23107,Impedance of leg (right)
1050-0.0,0.000393529,1050,Time spend outdoors in summer
20408-0.0,0.000376826,20408,Frequency of memory loss due to drinking alcohol in last year
23101-0.0,0.000371565,23101,Whole body fat-free mass
1873-0.0,0.00036639,1873,Number of full brothers
21004-2.0,0.000355364,21004,Number of puzzles correct
23114-0.0,0.000352304,23114,Leg predicted mass (right)
20548-0.0-9,0.000350379,20548,Manifestations of mania or irritability
709-0.0,0.000349862,709,Number in household
20431-0.0,0.00034625,20431,Ever addicted to a behaviour or miscellanous
23124-0.0,0.000345878,23124,Arm fat mass (left)
1797-0.0,0.000343568,1797,Father still alive
20404-0.0,0.00034353,20404,Ever physically dependent on alcohol
20503-0.0,0.00034229,20503,Ever addicted to prescription or over-the-counter medication
23118-0.0,0.000336424,23118,Leg predicted mass (left)
20490-0.0,0.000334942,20490,Sexually molested as a child
20467-0.0,0.000329048,20467,Frequency of unusual or psychotic experiences in past year
1369-0.0,0.000324897,1369,Beef intake
20463-0.0,0.000324238,20463,Ever heard an un-real voice
4581-0.0,0.000315487,4581,Financial situation satisfaction
99999996-0.0,0.000315198,99999996,Mania
6350-2.0,0.000313861,6350,Duration to complete alphanumeric path (trail #2)
20448-0.0,0.000307115,20448,Professional informed about depression
1200-0.0,0.000304098,1200,Sleeplessness / insomnia
1379-0.0,0.000295336,1379,Lamb/mutton intake
23108-0.0,0.000295203,23108,Impedance of leg (left)
1438-0.0,0.000289253,1438,Bread intake
99999994-0.0,0.000283058,99999994,PHQ4
20505-0.0,0.000271911,20505,Recent easy annoyance or irritability
3436-0.0,0.000271035,3436,Age started smoking in current smokers
23109-0.0,0.000267729,23109,Impedance of arm (right)
4609-0.0,0.000266829,4609,Longest period of depression
20537-0.0,0.00026323,20537,Frequency of difficulty controlling worry during worst period of anxiety
4196-0.0,0.000259949,4196,Pulse wave peak to peak time
2306-0.0,0.000258698,2306,Weight change compared with 1 year ago
1950-0.0,0.000252937,1950,Sensitivity / hurt feelings
23105-0.0,0.00025206,23105,Basal metabolic rate
1558-0.0,0.000251117,1558,Alcohol intake frequency.
1618-0.0,0.000251086,1618,Alcohol usually taken with meals
1845-0.0,0.000247306,1845,Mother's age
