Feature,Importance,FieldID,FieldName
20450-0.0,0.160728501,20450,Feelings of worthlessness
20500-0.0,0.125984157,20500,Suffering mental distress 
20433-0.0,0.085406058,20433,Age at first episode of depression
2100-0.0,0.075272836,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.069387414,20437,Thoughts of death during depression
20544-0.0-11,0.066026038,20544,Depression diagnosed by professional
20499-0.0,0.046638619,20499,Ever sought/received help for mental distress
20531-0.0,0.03567755,20531,Victim of sexual assault
2149-0.0,0.024136326,2149,Lifetime number of sexual partners
20489-0.0,0.023337857,20489,Felt loved as a child
99999992-0.0,0.02158525,99999992,Traumatic events
20487-0.0,0.018537991,20487,Felt hated by family member as a child
20521-0.0,0.013607108,20521,Belittlement by partners
189-0.0,0.013044123,189,Townsend deprivation index 
20523-0.0,0.01257134,20523,Physical violence by partners
20162-0.0,0.011222475,20162,Smoking years as proportion of life span
20436-0.0,0.009638834,20436,Fraction of day affected during depression
20546-0.0-4,0.00911612,20546,Drugs or alcohol  taken for depression
2139-0.0,0.008963286,2139,Age first had sexual intercourse
699-0.0,0.008693066,699,Length of time at current address
99999995-0.0,0.008649291,99999995,Mental distress
20513-0.0,0.006949241,20513,Recent thoughts of suicide or self-harm
3669-0.0,0.005158335,3669,Number of same-sex sexual partners
20488-0.0,0.005044299,20488,Physically abused by family as a child
20455-0.0,0.004534022,20455,Age when last took cannabis
20454-0.0,0.004393418,20454,Maximum frequency of taking cannabis
20161-0.0,0.004246884,20161,Pack years of smoking
20461-0.0,0.004219095,20461,Age at first psychotic experience
20116-0.0,0.003562113,20116,Smoking status
99999998-0.0,0.003090531,99999998,Depression symptom
20465-0.0,0.003055762,20465,Number of times heard an un-real voice
1930-0.0,0.002638488,1930,Miserableness
20406-0.0,0.002586008,20406,Ever addicted to alcohol
20536-0.0,0.002554176,20536,Weight change during worst episode of depression
20493-0.0,0.002432945,20493,Severity of problems due to mania or irritability
1883-0.0,0.002391098,1883,Number of full sisters
1458-0.0,0.002223975,1458,Cereal intake
1369-0.0,0.002175173,1369,Beef intake
20453-0.0,0.002033193,20453,Ever taken cannabis
20496-0.0,0.002001784,20496,Felt distant from other people in past month
2188-0.0,0.00190904,2188,"Long-standing illness, disability or infirmity"
20449-0.0,0.00160127,20449,Feelings of tiredness during worst episode of depression
46-0.0,0.001571961,46,Hand grip strength (left)
2946-0.0,0.001543363,2946,Father's age
1488-0.0,0.001529307,1488,Tea intake
728-0.0,0.001519957,728,Number of vehicles in household
757-0.0,0.001493272,757,Time employed in main current job
