,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0277,0.8044,0.8276,0.8039,0.093,0.6314,0.1672,0.892,0.2125,1.5837,0.0208
inner_cv_iter1,0.0277,0.8158,0.7595,0.8176,0.119,0.5771,0.2058,0.8793,0.271,1.7329,0.0262
inner_cv_iter2,0.0277,0.8146,0.859,0.8132,0.1269,0.6722,0.2211,0.9237,0.3688,1.4877,0.0236
inner_cv_iter3,0.0277,0.8211,0.7619,0.8226,0.099,0.5846,0.1752,0.8786,0.2858,1.7107,0.0209
inner_cv_iter4,0.0277,0.8054,0.8615,0.8039,0.1051,0.6654,0.1873,0.9117,0.3558,1.5028,0.0204
inner_cv_iter5,0.0277,0.815,0.7966,0.8154,0.094,0.612,0.1682,0.8916,0.2717,1.634,0.0197
inner_cv_iter6,0.0277,0.8163,0.8333,0.8158,0.1158,0.6491,0.2034,0.8997,0.3611,1.5406,0.0222
inner_cv_iter7,0.0277,0.8093,0.8261,0.8089,0.1118,0.6349,0.1969,0.8951,0.2941,1.5749,0.0232
inner_cv_iter8,0.0277,0.817,0.8154,0.8171,0.105,0.6325,0.186,0.8905,0.2282,1.5811,0.0226
inner_cv_iter9,0.0277,0.8136,0.7846,0.8144,0.1024,0.599,0.1812,0.8877,0.287,1.6695,0.0214
Mean,0.027699999999999995,0.81325,0.8125500000000001,0.81328,0.1072,0.62582,0.18923,0.89499,0.29359999999999997,1.60179,0.0221
StandarDeviation,1.097135458930219e-18,0.005020408349925332,0.03437706357442417,0.005721678075529963,0.010477881465258139,0.03066084799871003,0.016591989030854622,0.013169012871130458,0.05101913366571408,0.07919059855816224,0.0018110770276274838
Output,0.028 +- 0.0,0.813 +- 0.005,0.813 +- 0.034,0.813 +- 0.006,0.107 +- 0.01,0.626 +- 0.031,0.189 +- 0.017,0.895 +- 0.013,0.294 +- 0.051,1.602 +- 0.079,0.022 +- 0.002
