,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0218,0.8206,0.8889,0.8187,0.1165,0.7076,0.206,0.9101,0.2847,1.4132,0.0219
inner_cv_iter1,0.0218,0.8406,0.6774,0.8458,0.1221,0.5232,0.2069,0.8601,0.2599,1.9114,0.0263
inner_cv_iter2,0.0218,0.8166,0.75,0.8176,0.0606,0.5676,0.1121,0.9165,0.2986,1.7617,0.0138
inner_cv_iter3,0.0218,0.8218,0.95,0.8191,0.0974,0.7691,0.1767,0.9447,0.487,1.3002,0.0146
inner_cv_iter4,0.0218,0.8376,0.9524,0.8352,0.1087,0.7876,0.1951,0.9494,0.4558,1.2697,0.0151
inner_cv_iter5,0.0218,0.8232,0.7083,0.8258,0.0854,0.5342,0.1525,0.885,0.2722,1.8721,0.019
inner_cv_iter6,0.0218,0.8275,0.7895,0.8282,0.0777,0.6177,0.1415,0.882,0.2587,1.619,0.0156
inner_cv_iter7,0.0218,0.8276,0.88,0.8263,0.1111,0.7063,0.1973,0.9325,0.4548,1.4159,0.0175
inner_cv_iter8,0.0218,0.8232,0.8519,0.8224,0.1139,0.6743,0.2009,0.9335,0.3702,1.4831,0.02
inner_cv_iter9,0.0218,0.8555,0.875,0.8551,0.1228,0.7301,0.2154,0.9331,0.3828,1.3697,0.0174
Mean,0.021799999999999996,0.82942,0.83234,0.82942,0.10162,0.66177,0.18044000000000002,0.91469,0.35247,1.5416,0.01812
StandarDeviation,3.469446951953614e-18,0.011210066904349867,0.09161807900190878,0.011814888911877241,0.01978872406195003,0.09085599649995589,0.03236470917527299,0.028407514850827768,0.08472375168746955,0.22313214470353662,0.0036460389465829903
Output,0.022 +- 0.0,0.829 +- 0.011,0.832 +- 0.092,0.829 +- 0.012,0.102 +- 0.02,0.662 +- 0.091,0.18 +- 0.032,0.915 +- 0.028,0.352 +- 0.085,1.542 +- 0.223,0.018 +- 0.004
