Feature,Importance,FieldID,FieldName
20500-0.0,0.155749848,20500,Suffering mental distress 
20450-0.0,0.146856389,20450,Feelings of worthlessness
20433-0.0,0.090807637,20433,Age at first episode of depression
2100-0.0,0.081219122,2100,Seen psychiatrists for  anxiety/depression
20437-0.0,0.072772734,20437,Thoughts of death during depression
20499-0.0,0.046341636,20499,Ever sought/received help for mental distress
20544-0.0-11,0.038789976,20544,Depression diagnosed by professional
20531-0.0,0.033909319,20531,Victim of sexual assault
20489-0.0,0.028559181,20489,Felt loved as a child
2149-0.0,0.02109812,2149,Lifetime number of sexual partners
20487-0.0,0.019076811,20487,Felt hated by family member as a child
99999992-0.0,0.01803709,99999992,Traumatic events
20523-0.0,0.016169191,20523,Physical violence by partners
20162-0.0,0.014417615,20162,Smoking years as proportion of life span
20521-0.0,0.012715599,20521,Belittlement by partners
20546-0.0-4,0.011514658,20546,Drugs or alcohol  taken for depression
20436-0.0,0.01144308,20436,Fraction of day affected during depression
2139-0.0,0.010174298,2139,Age first had sexual intercourse
20513-0.0,0.00979614,20513,Recent thoughts of suicide or self-harm
20441-0.0,0.009171667,20441,Prolonged loss of interest in normal activities
189-0.0,0.008595049,189,Townsend deprivation index 
699-0.0,0.008122421,699,Length of time at current address
99999995-0.0,0.006353548,99999995,Mental distress
20455-0.0,0.005244898,20455,Age when last took cannabis
20161-0.0,0.005219865,20161,Pack years of smoking
20488-0.0,0.00500893,20488,Physically abused by family as a child
3669-0.0,0.004400674,3669,Number of same-sex sexual partners
20461-0.0,0.004296829,20461,Age at first psychotic experience
680-0.0,0.003352831,680,Own or rent accommodation lived in
20465-0.0,0.002929721,20465,Number of times heard an un-real voice
1930-0.0,0.002711321,1930,Miserableness
1883-0.0,0.002693167,1883,Number of full sisters
1458-0.0,0.002596219,1458,Cereal intake
20454-0.0,0.002405593,20454,Maximum frequency of taking cannabis
99999998-0.0,0.001999663,99999998,Depression symptom
20493-0.0,0.001802591,20493,Severity of problems due to mania or irritability
20439-0.0,0.001596652,20439,Frequency of depressed days during worst episode of depression
2188-0.0,0.001588459,2188,"Long-standing illness, disability or infirmity"
20501-0.0,0.001524836,20501,Ever had period of mania / excitability
20522-0.0,0.001481183,20522,Been in a confiding relationship as an adult
3526-0.0,0.001456084,3526,Mother's age at death
46-0.0,0.001437645,46,Hand grip strength (left)
20449-0.0,0.001404278,20449,Feelings of tiredness during worst episode of depression
20403-0.0,0.001264804,20403,Amount of alcohol drunk on a typical drinking day
1299-0.0,0.001250419,1299,Salad / raw vegetable intake
20536-0.0,0.001230463,20536,Weight change during worst episode of depression
20406-0.0,0.00122999,20406,Ever addicted to alcohol
20414-0.0,0.001201814,20414,Frequency of drinking alcohol
2946-0.0,0.001128754,2946,Father's age
2159-0.0,0.001107029,2159,Ever had same-sex intercourse
21022-0.0,0.001052405,21022,Age at recruitment
20160-0.0,0.001026234,20160,Ever smoked
23111-0.0,0.001025722,23111,Leg fat percentage (right)
20519-0.0,0.001015173,20519,Recent feelings of tiredness or low energy
728-0.0,0.001013449,728,Number of vehicles in household
21000-0.0,0.000971294,21000,Ethnic background
757-0.0,0.000967351,757,Time employed in main current job
22040-0.0,0.000961387,22040,Summed MET minutes per week for all activity
20492-0.0,0.000957876,20492,Longest period of mania or irritability
20466-0.0,0.000956117,20466,Ever prescribed a medication for unusual or psychotic experiences
4079-0.0,0.000937166,4079,"Diastolic blood pressure, automated reading"
20526-0.0,0.000920555,20526,Been in serious accident believed to be life-threatening
20411-0.0,0.000913316,20411,Ever been injured or injured someone else through drinking alcohol
20434-0.0,0.000907498,20434,Age at last episode of depression
2050-0.0,0.00089147,2050,Frequency of depressed mood in last 2 weeks
20440-0.0,0.000849831,20440,Impact on normal roles during worst period of depression
20410-0.0,0.000819266,20410,Age when known person last commented about drinking habits
1488-0.0,0.00081615,1488,Tea intake
20496-0.0,0.000779804,20496,Felt distant from other people in past month
2110-0.0,0.000778048,2110,Able to confide
47-0.0,0.00070983,47,Hand grip strength (right)
6350-2.0,0.000678961,6350,Duration to complete alphanumeric path (trail #2)
20453-0.0,0.000677166,20453,Ever taken cannabis
20442-0.0,0.000673199,20442,Lifetime number of depressed periods
4581-0.0,0.000672476,4581,Financial situation satisfaction
20539-0.0,0.000648583,20539,Frequency of inability to stop worrying during worst period of anxiety
20127-0.0,0.000642627,20127,Neuroticism score
23115-0.0,0.000634287,23115,Leg fat percentage (left)
20416-0.0,0.000632627,20416,Frequency of consuming six or more units of alcohol
20462-0.0,0.000628932,20462,Distress caused by unusual or psychotic experiences
2060-0.0,0.00062757,2060,Frequency of unenthusiasm / disinterest in last 2 weeks
1835-0.0,0.000625319,1835,Mother still alive
20116-0.0,0.000620895,20116,Smoking status
1797-0.0,0.00060038,1797,Father still alive
400-0.1,0.000571251,400,Time to complete round
20524-0.0,0.000562326,20524,Sexual interference by partner or ex-partner without consent as an adult
2966-0.0,0.000559418,2966,Age high blood pressure diagnosed
874-0.0,0.000542296,874,Duration of walks
20544-0.0-4,0.000539636,20544,Depression diagnosed by professional
20023-0.0,0.000537216,20023,Mean time to correctly identify matches
1807-0.0,0.000532587,1807,Father's age at death
20477-0.0,0.000527674,20477,Ever talked to a health professional about unusual or psychotic experiences
4620-0.0,0.000523157,4620,Number of depression episodes
94-0.0,0.000517933,94,"Diastolic blood pressure, manual reading"
20022-0.0,0.000511467,20022,Birth weight
23104-0.0,0.000497634,23104,Body mass index (BMI)
23100-0.0,0.000471154,23100,Whole body fat mass
99999996-0.0,0.000468073,99999996,Mania
670-0.0,0.00046507,670,Type of accommodation lived in
2040-0.0,0.000464118,2040,Risk taking
20463-0.0,0.000459507,20463,Ever heard an un-real voice
4288-0.0,0.000459119,4288,Time to answer
1279-0.0,0.000456378,1279,Exposure to tobacco smoke outside home
3456-0.0,0.000456181,3456,Number of cigarettes currently smoked daily (current cigarette smokers)
709-0.0,0.000443019,709,Number in household
845-0.0,0.000434298,845,Age completed full time education
2090-0.0,0.000425728,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression"
1528-0.0,0.000422832,1528,Water intake
99999997-0.0,0.000421572,99999997,Happiness and subjective well-being
23124-0.0,0.00041729,23124,Arm fat mass (left)
23107-0.0,0.000410489,23107,Impedance of leg (right)
767-0.0,0.000402365,767,Length of working week for main job
20546-0.0-3,0.000391715,20546,Drugs or alcohol  taken for depression
3436-0.0,0.000391143,3436,Age started smoking in current smokers
23114-0.0,0.000379612,23114,Leg predicted mass (right)
23117-0.0,0.000369009,23117,Leg fat-free mass (left)
23113-0.0,0.000367056,23113,Leg fat-free mass (right)
23116-0.0,0.000366614,23116,Leg fat mass (left)
1329-0.0,0.000365777,1329,Oily fish intake
99999993-0.0,0.000358449,99999993,PHQ9
20404-0.0,0.000353555,20404,Ever physically dependent on alcohol
23128-0.0,0.000343814,23128,Trunk fat mass
1050-0.0,0.000338517,1050,Time spend outdoors in summer
20456-0.0,0.000333575,20456,Ever addicted to illicit or recreational drugs
1289-0.0,0.00033227,1289,Cooked vegetable intake
1239-0.0,0.000330436,1239,Current tobacco smoking
1873-0.0,0.000327251,1873,Number of full brothers
1498-0.0,0.000321344,1498,Coffee intake
23118-0.0,0.000315803,23118,Leg predicted mass (left)
2306-0.0,0.000308271,2306,Weight change compared with 1 year ago
3486-0.0,0.000302049,3486,Ever tried to stop smoking
20408-0.0,0.000286308,20408,Frequency of memory loss due to drinking alcohol in last year
1369-0.0,0.000281213,1369,Beef intake
5386-0.0,0.000277653,5386,Number of unenthusiastic/disinterested episodes
2473-0.0,0.000266526,2473,Other serious medical condition/disability diagnosed by doctor
23112-0.0,0.000262278,23112,Leg fat mass (right)
23099-0.0,0.000257584,23099,Body fat percentage
1200-0.0,0.000253803,1200,Sleeplessness / insomnia
1180-0.0,0.00025192,1180,Morning/evening person (chronotype)
1438-0.0,0.000249852,1438,Bread intake
